age_group,from_state,to_state,n_transitions,share_from_state_group,group_dimension,group_label,locality_group,age_x_locality
Early-career proxy,Appreciation,Appreciation,706,0.8641370869033048,age_group,Early-career proxy,,
Early-career proxy,Appreciation,Aversion,2,0.0024479804161566705,age_group,Early-career proxy,,
Early-career proxy,Appreciation,Neutral,109,0.13341493268053856,age_group,Early-career proxy,,
Early-career proxy,Aversion,Appreciation,19,0.011404561824729893,age_group,Early-career proxy,,
Early-career proxy,Aversion,Aversion,1148,0.6890756302521008,age_group,Early-career proxy,,
Early-career proxy,Aversion,Neutral,499,0.2995198079231693,age_group,Early-career proxy,,
Early-career proxy,Neutral,Appreciation,163,0.06540930979133226,age_group,Early-career proxy,,
Early-career proxy,Neutral,Aversion,586,0.23515248796147672,age_group,Early-career proxy,,
Early-career proxy,Neutral,Neutral,1743,0.699438202247191,age_group,Early-career proxy,,
Mid-career proxy,Appreciation,Appreciation,1529,0.8757159221076747,age_group,Mid-career proxy,,
Mid-career proxy,Appreciation,Aversion,3,0.001718213058419244,age_group,Mid-career proxy,,
Mid-career proxy,Appreciation,Neutral,214,0.12256586483390607,age_group,Mid-career proxy,,
Mid-career proxy,Aversion,Appreciation,52,0.013312852022529442,age_group,Mid-career proxy,,
Mid-career proxy,Aversion,Aversion,2654,0.6794674859190988,age_group,Mid-career proxy,,
Mid-career proxy,Aversion,Neutral,1200,0.30721966205837176,age_group,Mid-career proxy,,
Mid-career proxy,Neutral,Appreciation,349,0.06151947823021329,age_group,Mid-career proxy,,
Mid-career proxy,Neutral,Aversion,1417,0.24977965802926141,age_group,Mid-career proxy,,
Mid-career proxy,Neutral,Neutral,3907,0.6887008637405253,age_group,Mid-career proxy,,
Senior-career proxy,Appreciation,Appreciation,872,0.8870803662258393,age_group,Senior-career proxy,,
Senior-career proxy,Appreciation,Aversion,2,0.002034587995930824,age_group,Senior-career proxy,,
Senior-career proxy,Appreciation,Neutral,109,0.11088504577822991,age_group,Senior-career proxy,,
Senior-career proxy,Aversion,Appreciation,23,0.01209889531825355,age_group,Senior-career proxy,,
Senior-career proxy,Aversion,Aversion,1326,0.6975276170436613,age_group,Senior-career proxy,,
Senior-career proxy,Aversion,Neutral,552,0.29037348763808524,age_group,Senior-career proxy,,
Senior-career proxy,Neutral,Appreciation,186,0.06911928651059086,age_group,Senior-career proxy,,
Senior-career proxy,Neutral,Aversion,656,0.2437755481233742,age_group,Senior-career proxy,,
Senior-career proxy,Neutral,Neutral,1849,0.6871051653660349,age_group,Senior-career proxy,,
,Appreciation,Appreciation,520,0.8754208754208754,age_x_locality,Early-career proxy | Local,,Early-career proxy | Local
,Appreciation,Aversion,2,0.003367003367003367,age_x_locality,Early-career proxy | Local,,Early-career proxy | Local
,Appreciation,Neutral,72,0.12121212121212122,age_x_locality,Early-career proxy | Local,,Early-career proxy | Local
,Aversion,Appreciation,14,0.011541632316570486,age_x_locality,Early-career proxy | Local,,Early-career proxy | Local
,Aversion,Aversion,824,0.6793075020610058,age_x_locality,Early-career proxy | Local,,Early-career proxy | Local
,Aversion,Neutral,375,0.3091508656224237,age_x_locality,Early-career proxy | Local,,Early-career proxy | Local
,Neutral,Appreciation,114,0.06358059118795314,age_x_locality,Early-career proxy | Local,,Early-career proxy | Local
,Neutral,Aversion,434,0.24205242610150585,age_x_locality,Early-career proxy | Local,,Early-career proxy | Local
,Neutral,Neutral,1245,0.694366982710541,age_x_locality,Early-career proxy | Local,,Early-career proxy | Local
,Appreciation,Appreciation,186,0.8340807174887892,age_x_locality,Early-career proxy | Non-local,,Early-career proxy | Non-local
,Appreciation,Aversion,0,0.0,age_x_locality,Early-career proxy | Non-local,,Early-career proxy | Non-local
