group_dimension,group_label,n_managers,age_group,ai_authority_share_mean_mean,ai_authority_share_mean_sd,escalation_share_mean_mean,escalation_share_mean_sd,composite_kpi_score_mean_mean,composite_kpi_score_mean_sd,target_attainment_rate_mean,target_attainment_rate_sd,share_aversion_mean,share_aversion_sd,share_neutral_mean,share_neutral_sd,share_appreciation_mean,share_appreciation_sd,posterior_aversion_mean_mean,posterior_aversion_mean_sd,posterior_neutral_mean_mean,posterior_neutral_mean_sd,posterior_appreciation_mean_mean,posterior_appreciation_mean_sd,persistence_rate_mean,persistence_rate_sd,upward_transition_rate_mean,upward_transition_rate_sd,downward_transition_rate_mean,downward_transition_rate_sd,second_order_repeat_rate_mean,second_order_repeat_rate_sd,second_order_reversal_rate_mean,second_order_reversal_rate_sd,locality_group,age_x_locality
age_group,Early-career proxy,199,Early-career proxy,0.3462390999830981,0.11329863165314773,0.5483092717578193,0.047571040099390643,0.4858711172312077,0.04665697534617526,0.0829145728643216,0.08478522080575274,0.3362968689601856,0.19861320738079116,0.4920757634325474,0.14495873692866212,0.17162736760726707,0.16808317134240403,0.32618414759252917,0.1896046806499367,0.5037281682571059,0.13470705565264812,0.17008768415036501,0.16232787521778758,0.7230150753768844,0.11104169193299773,0.13688442211055274,0.05442390395552599,0.1401005025125628,0.06174229555460557,0.6329564489112228,0.12669805255983674,0.08919597989949749,0.07653568892015147,,
age_group,Mid-career proxy,453,Mid-career proxy,0.32941406132389534,0.11378964532080997,0.5508896095070722,0.04969218097200823,0.4776062364831118,0.04662397656616621,0.07683817286466293,0.08655260062420461,0.3465783664459161,0.1969732283255717,0.48955680081507896,0.14709936810225896,0.16386483273900496,0.16129498301694442,0.33226286006883915,0.18767498203135333,0.5031423718268276,0.13540019020043986,0.16459476810433318,0.15781850269655504,0.7143487858719647,0.11151345103031639,0.14136865342163354,0.05455271532867441,0.14428256070640177,0.0625719379309697,0.6260117733627667,0.12602110122320775,0.09584253127299484,0.07949227544069146,,
age_group,Senior-career proxy,223,Senior-career proxy,0.33786410038177117,0.11441086785203164,0.5468538654647375,0.052842420495235354,0.4807548231183524,0.046876938640768855,0.07433597792342186,0.08236110045110993,0.3425319075543291,0.2214421186294911,0.47102449120386336,0.14052314663990606,0.18644360124180753,0.1711277815713299,0.329045117872273,0.21197642828693736,0.48558308479118967,0.1317513143119493,0.18537179733653736,0.16823760270587104,0.7259192825112107,0.11371266434269899,0.13650224215246637,0.05657139907363353,0.13757847533632286,0.06243888459427059,0.6444319880418534,0.12573289145317956,0.09342301943198804,0.0785470340930575,,
locality_group,Local,650,,0.331664504006538,0.11039549635722613,0.5499350820402078,0.04967888750644178,0.4790896319597799,0.04613322783976353,0.07485207100591716,0.08301023920380868,0.33964497041420116,0.20447679990266857,0.48786982248520716,0.14114601464273338,0.1724852071005917,0.1660608691845759,0.32626179614846,0.19452210520837618,0.5012610105918521,0.1294311628822228,0.17247719325968777,0.1622748421666021,0.7167384615384614,0.11180743363671147,0.1408,0.054847933778342704,0.14246153846153845,0.062293870111011805,0.6305128205128205,0.12776874489604176,0.09538461538461539,0.0786026358103878,Local,
locality_group,Non-local,225,,0.34616852203220605,0.12313712037874122,0.5473650971511609,0.05105767941110194,0.4837512988328695,0.04846006966333521,0.08547008547008547,0.0904521349136374,0.3535042735042735,0.20134634772519422,0.4782905982905983,0.1558784796046896,0.1682051282051282,0.1640793109669982,0.3410338434271792,0.19394018351731093,0.4916923153086593,0.14786858663689667,0.16727384126416156,0.1599207578249227,0.7265777777777779,0.11234244699500451,0.13422222222222224,0.05539182221460104,0.1392,0.06257338548798978,0.6374074074074075,0.12163912132921097,0.08888888888888889,0.07834789631600109,Non-local,
age_x_locality,Early-career proxy | Local,144,,0.340818518621102,0.10764194523180164,0.5491058980721583,0.04676666752732508,0.4837307224725041,0.045517599696847676,0.08253205128205128,0.08665791767199107,0.3373397435897436,0.1954672533665426,0.4895833333333333,0.13270711925504372,0.17307692307692307,0.17421626071992963,0.3269086981657292,0.1861406458123449,0.5017810492038619,0.1222388107457484,0.1713102526304089,0.1678818512053599,0.7191666666666667,0.10781686103979993,0.1397222222222222,0.053309289452030235,0.1411111111111111,0.05945099775799507,0.6307870370370371,0.12383990725121403,0.0931712962962963,0.07617668484059922,,Early-career proxy | Local
age_x_locality,Early-career proxy | Non-local,55,,0.3604311675490513,0.12688746600067782,0.5462235592257316,0.04999736806978714,0.49147505987217716,0.04950854183738784,0.08391608391608395,0.08043646996726628,0.3335664335664336,0.2084473120762663,0.4986013986013986,0.17421494119466654,0.1678321678321678,0.1523005761747401,0.32428714245542367,0.20014351197915772,0.5088260799601445,0.1641012630553039,0.1668867775844319,0.1482135097405791,0.7330909090909092,0.11951867554785656,0.12945454545454546,0.0570710467496819,0.13745454545454547,0.06788383819596154,0.6386363636363636,0.1349093167875344,0.07878787878787878,0.07719387605607822,,Early-career proxy | Non-local
age_x_locality,Mid-career proxy | Local,336,,0.3238275998923031,0.10894557734126081,0.5530460800303194,0.048764981999235235,0.4764346205555336,0.04596920515034715,0.07051282051282051,0.08216004081731906,0.3482142857142857,0.19858898748474224,0.48935439560439564,0.1445415164290619,0.16243131868131866,0.1584592384516938,0.3334436036636169,0.1887611265963216,0.5027683262405661,0.1316308379287759,0.16378807009581683,0.15560834446400595,0.708095238095238,0.11220957141685856,0.14440476190476192,0.055024579375634756,0.14750000000000002,0.0628929438654266,0.6222718253968254,0.12959145212623788,0.09982638888888888,0.08069049821516266,,Mid-career proxy | Local
age_x_locality,Mid-career proxy | Non-local,117,,0.3454572326146218,0.12579993211405283,0.5446966685172343,0.051981576523049224,0.48097087709564396,0.04849977334641771,0.09500328731097964,0.09616348089297634,0.34188034188034183,0.1930210758749852,0.49013806706114393,0.15485032414240832,0.1679815910585141,0.1698113902194817,0.3288720066684517,0.18528121750163182,0.5042165540232706,0.14627538471540877,0.16691143930827765,0.16466520698327972,0.7323076923076923,0.1079542097643049,0.13264957264957264,0.05243046564988788,0.13504273504273503,0.060963866228762945,0.6367521367521366,0.11500329958489926,0.0844017094017094,0.07510798788275486,,Mid-career proxy | Non-local
age_x_locality,Senior-career proxy | Local,170,,0.3393999256411598,0.11496135802942006,0.5444886536091582,0.05351197397801134,0.4804059072421001,0.04687257664051642,0.07692307692307693,0.08145502898187104,0.3246606334841629,0.22289540597174198,0.48348416289592755,0.14200113807032308,0.1918552036199095,0.1728169409993049,0.3115192007626983,0.21223042044637805,0.4978413422501033,0.13163389221810345,0.19063945698719836,0.1696938261135609,0.7317647058823529,0.11327482912207318,0.13458823529411765,0.05550314114841392,0.1336470588235294,0.06277313447181554,0.6465686274509803,0.12661055877157634,0.08848039215686274,0.07627975394844758,,Senior-career proxy | Local
