manager_id,age_basis_value,age_group,age_group_source,locality_group,locality_group_source,age_x_locality,seniority_years,region,site_id,baseline_ai_attitude,risk_aversion_index,governance_mode,high_pressure
M0001,6.645662884391548,Mid-career proxy,seniority_years proxy because no manager age column exists in the workbook,Local,region proxy because no manager local/non-local column exists,Mid-career proxy | Local,6.645662884391548,DE-East,S007,-0.1600447579496131,0.8534105850856133,fearful_exclusion,0
M0002,3.160579187545198,Early-career proxy,seniority_years proxy because no manager age column exists in the workbook,Local,region proxy because no manager local/non-local column exists,Early-career proxy | Local,3.160579187545198,DE-West,S011,-0.7498087299005035,0.7044479417452906,fearful_exclusion,1
M0003,10.1619795204102,Senior-career proxy,seniority_years proxy because no manager age column exists in the workbook,Non-local,region proxy because no manager local/non-local column exists,Senior-career proxy | Non-local,10.1619795204102,EU-Other,S001,-0.1040325138134919,0.4834628165538372,controlled_opening,1
M0004,9.870970621958557,Senior-career proxy,seniority_years proxy because no manager age column exists in the workbook,Non-local,region proxy because no manager local/non-local column exists,Senior-career proxy | Non-local,9.870970621958557,EU-Other,S001,-0.2189543430996023,0.707818953764042,controlled_opening,0
M0005,8.723620158408455,Senior-career proxy,seniority_years proxy because no manager age column exists in the workbook,Non-local,region proxy because no manager local/non-local column exists,Senior-career proxy | Non-local,8.723620158408455,EU-Other,S006,-1.0,0.4447006582590102,fearful_exclusion,0
M0006,8.454527292936547,Senior-career proxy,seniority_years proxy because no manager age column exists in the workbook,Local,region proxy because no manager local/non-local column exists,Senior-career proxy | Local,8.454527292936547,DE-West,S005,0.2088968865057714,0.2564084620334141,opportunistic_teaming,0
M0007,0.0,Early-career proxy,seniority_years proxy because no manager age column exists in the workbook,Non-local,region proxy because no manager local/non-local column exists,Early-career proxy | Non-local,0.0,EU-Other,S001,0.1458620342921905,0.6279861455550848,controlled_opening,0
M0008,8.972614933395638,Senior-career proxy,seniority_years proxy because no manager age column exists in the workbook,Non-local,region proxy because no manager local/non-local column exists,Senior-career proxy | Non-local,8.972614933395638,EU-Other,S001,-0.00905631476397284,0.4213065284235185,controlled_opening,0
M0009,8.97720052984427,Senior-career proxy,seniority_years proxy because no manager age column exists in the workbook,Local,region proxy because no manager local/non-local column exists,Senior-career proxy | Local,8.97720052984427,DE-East,S003,-0.1415134383571929,0.2503380560639418,controlled_opening,1
M0010,5.686295609634986,Mid-career proxy,seniority_years proxy because no manager age column exists in the workbook,Local,region proxy because no manager local/non-local column exists,Mid-career proxy | Local,5.686295609634986,DE-West,S005,-1.0,0.8635107753996402,fearful_exclusion,0
