age_group,previous_state,current_state,next_state,n_windows,share_from_two_state_history_group,group_dimension,group_label,locality_group,age_x_locality
Early-career proxy,Appreciation,Appreciation,Appreciation,560,0.865533230293663,age_group,Early-career proxy,,
Early-career proxy,Appreciation,Appreciation,Aversion,1,0.0015455950540958269,age_group,Early-career proxy,,
Early-career proxy,Appreciation,Appreciation,Neutral,86,0.13292117465224113,age_group,Early-career proxy,,
Early-career proxy,Appreciation,Aversion,Appreciation,0,0.0,age_group,Early-career proxy,,
Early-career proxy,Appreciation,Aversion,Aversion,1,0.5,age_group,Early-career proxy,,
Early-career proxy,Appreciation,Aversion,Neutral,1,0.5,age_group,Early-career proxy,,
Early-career proxy,Appreciation,Neutral,Appreciation,18,0.18556701030927836,age_group,Early-career proxy,,
Early-career proxy,Appreciation,Neutral,Aversion,24,0.24742268041237114,age_group,Early-career proxy,,
Early-career proxy,Appreciation,Neutral,Neutral,55,0.5670103092783505,age_group,Early-career proxy,,
Early-career proxy,Aversion,Appreciation,Appreciation,13,0.7647058823529411,age_group,Early-career proxy,,
Early-career proxy,Aversion,Appreciation,Aversion,0,0.0,age_group,Early-career proxy,,
Early-career proxy,Aversion,Appreciation,Neutral,4,0.23529411764705882,age_group,Early-career proxy,,
Early-career proxy,Aversion,Aversion,Appreciation,13,0.011959521619135235,age_group,Early-career proxy,,
Early-career proxy,Aversion,Aversion,Aversion,758,0.6973321067157314,age_group,Early-career proxy,,
Early-career proxy,Aversion,Aversion,Neutral,316,0.2907083716651334,age_group,Early-career proxy,,
Early-career proxy,Aversion,Neutral,Appreciation,37,0.07660455486542443,age_group,Early-career proxy,,
Early-career proxy,Aversion,Neutral,Aversion,198,0.40993788819875776,age_group,Early-career proxy,,
Early-career proxy,Aversion,Neutral,Neutral,248,0.5134575569358178,age_group,Early-career proxy,,
Early-career proxy,Neutral,Appreciation,Appreciation,133,0.869281045751634,age_group,Early-career proxy,,
Early-career proxy,Neutral,Appreciation,Aversion,1,0.006535947712418301,age_group,Early-career proxy,,
Early-career proxy,Neutral,Appreciation,Neutral,19,0.12418300653594772,age_group,Early-career proxy,,
Early-career proxy,Neutral,Aversion,Appreciation,6,0.010471204188481676,age_group,Early-career proxy,,
Early-career proxy,Neutral,Aversion,Aversion,388,0.6771378708551483,age_group,Early-career proxy,,
Early-career proxy,Neutral,Aversion,Neutral,179,0.31239092495637,age_group,Early-career proxy,,
Early-career proxy,Neutral,Neutral,Appreciation,108,0.0629004076878276,age_group,Early-career proxy,,
Early-career proxy,Neutral,Neutral,Aversion,318,0.18520675596971461,age_group,Early-career proxy,,
Early-career proxy,Neutral,Neutral,Neutral,1291,0.7518928363424577,age_group,Early-career proxy,,
Mid-career proxy,Appreciation,Appreciation,Appreciation,1204,0.8814055636896047,age_group,Mid-career proxy,,
Mid-career proxy,Appreciation,Appreciation,Aversion,2,0.0014641288433382138,age_group,Mid-career proxy,,
Mid-career proxy,Appreciation,Appreciation,Neutral,160,0.1171303074670571,age_group,Mid-career proxy,,
Mid-career proxy,Appreciation,Aversion,Appreciation,1,0.5,age_group,Mid-career proxy,,
Mid-career proxy,Appreciation,Aversion,Aversion,1,0.5,age_group,Mid-career proxy,,
Mid-career proxy,Appreciation,Aversion,Neutral,0,0.0,age_group,Mid-career proxy,,
Mid-career proxy,Appreciation,Neutral,Appreciation,31,0.15656565656565657,age_group,Mid-career proxy,,
Mid-career proxy,Appreciation,Neutral,Aversion,59,0.29797979797979796,age_group,Mid-career proxy,,
Mid-career proxy,Appreciation,Neutral,Neutral,108,0.5454545454545454,age_group,Mid-career proxy,,
Mid-career proxy,Aversion,Appreciation,Appreciation,37,0.74,age_group,Mid-career proxy,,
Mid-career proxy,Aversion,Appreciation,Aversion,0,0.0,age_group,Mid-career proxy,,
Mid-career proxy,Aversion,Appreciation,Neutral,13,0.26,age_group,Mid-career proxy,,
Mid-career proxy,Aversion,Aversion,Appreciation,36,0.014234875444839857,age_group,Mid-career proxy,,
Mid-career proxy,Aversion,Aversion,Aversion,1756,0.6943455911427442,age_group,Mid-career proxy,,
Mid-career proxy,Aversion,Aversion,Neutral,737,0.291419533412416,age_group,Mid-career proxy,,
Mid-career proxy,Aversion,Neutral,Appreciation,75,0.0644883920894239,age_group,Mid-career proxy,,
Mid-career proxy,Aversion,Neutral,Aversion,480,0.412725709372313,age_group,Mid-career proxy,,
Mid-career proxy,Aversion,Neutral,Neutral,608,0.5227858985382631,age_group,Mid-career proxy,,
Mid-career proxy,Neutral,Appreciation,Appreciation,288,0.8727272727272727,age_group,Mid-career proxy,,
Mid-career proxy,Neutral,Appreciation,Aversion,1,0.0030303030303030303,age_group,Mid-career proxy,,
Mid-career proxy,Neutral,Appreciation,Neutral,41,0.12424242424242424,age_group,Mid-career proxy,,
Mid-career proxy,Neutral,Aversion,Appreciation,15,0.010972933430870519,age_group,Mid-career proxy,,
Mid-career proxy,Neutral,Aversion,Aversion,892,0.6525237746891002,age_group,Mid-career proxy,,
Mid-career proxy,Neutral,Aversion,Neutral,460,0.33650329188002925,age_group,Mid-career proxy,,
Mid-career proxy,Neutral,Neutral,Appreciation,243,0.06283941039565555,age_group,Mid-career proxy,,
Mid-career proxy,Neutral,Neutral,Aversion,791,0.20455133178174295,age_group,Mid-career proxy,,
Mid-career proxy,Neutral,Neutral,Neutral,2833,0.7326092578226014,age_group,Mid-career proxy,,
Senior-career proxy,Appreciation,Appreciation,Appreciation,698,0.8925831202046036,age_group,Senior-career proxy,,
Senior-career proxy,Appreciation,Appreciation,Aversion,2,0.0025575447570332483,age_group,Senior-career proxy,,
