section,variable,parameter,state,from_state,to_state,emission,covariate,estimate,standard_error,z_stat,p_value,significance,significant_10pct,significant_5pct,significant_1pct,test_available,significance_source
Manager heterogeneity factor,Manager-specific heterogeneity xi_i,xi_i,,,,,,0.6447,,,,,False,False,False,False,calibrated DGP random-effect SD; no HMM Hessian p-value
Emission baseline mean,AI Authority Share,"mu[state=2, emission=ai_authority_share]",Aversion,,,ai_authority_share,,0.02158211852005762,0.0004510585894428618,47.84770543160569,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission baseline mean,AI Authority Share,"mu[state=1, emission=ai_authority_share]",Neutral,,,ai_authority_share,,0.28569870672134123,0.0007465970762200335,382.6678617170763,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission baseline mean,AI Authority Share,"mu[state=3, emission=ai_authority_share]",Appreciation,,,ai_authority_share,,0.6150536594574884,0.0022896947446503684,268.61819065379643,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission baseline mean,Escalation Share,"mu[state=2, emission=escalation_share]",Aversion,,,escalation_share,,0.6707541836055361,0.0012009281774584223,558.5298073570752,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission baseline mean,Escalation Share,"mu[state=1, emission=escalation_share]",Neutral,,,escalation_share,,0.5325511514258684,0.0006590319664026961,808.0809104492777,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission baseline mean,Escalation Share,"mu[state=3, emission=escalation_share]",Appreciation,,,escalation_share,,0.3855152648011599,0.0021051425684102676,183.1302404816639,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Decision Latency,"W[state=2, emission=ai_authority_share, control=decision_latency]",Aversion,,,ai_authority_share,decision_latency,-0.017346809671882367,0.0005623299655415742,-30.848097620363934,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Decision Latency,"W[state=1, emission=ai_authority_share, control=decision_latency]",Neutral,,,ai_authority_share,decision_latency,-0.22807627054291946,0.001277606073872709,-178.51846136858867,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Decision Latency,"W[state=3, emission=ai_authority_share, control=decision_latency]",Appreciation,,,ai_authority_share,decision_latency,-0.14273690567739472,0.002576356712923733,-55.40261756510117,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Demand Volatility,"W[state=2, emission=ai_authority_share, control=demand_volatility]",Aversion,,,ai_authority_share,demand_volatility,0.0018878323080143249,0.0002324171577757454,8.122603021571479,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Demand Volatility,"W[state=1, emission=ai_authority_share, control=demand_volatility]",Neutral,,,ai_authority_share,demand_volatility,0.02672599705755667,0.0008141411211721954,32.82722904240083,1e-12,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
Emission control effect,AI Authority Share | Demand Volatility,"W[state=3, emission=ai_authority_share, control=demand_volatility]",Appreciation,,,ai_authority_share,demand_volatility,-0.004207540241866467,0.0012444625940279197,-3.3810098126356944,0.0007221996374637829,***,True,True,True,True,posterior-weighted Gaussian emission regression Wald test
