state,term,estimate,p_value,n_effective,r_squared,f_statistic,f_p_value,aic,bic
Aversion,beta0,0.5784660598851731,0.0,7508.872337962735,0.1795037292960725,205.09768020544658,3.171039514e-315,-5849.001242944147,-5786.68667773538
Aversion,beta1_x,-0.05781483269089985,0.0025267036644625197,7508.872337962735,0.1795037292960725,205.09768020544658,3.171039514e-315,-5849.001242944147,-5786.68667773538
Aversion,beta2_x2,-0.1115270546243351,0.39265248642503603,7508.872337962735,0.1795037292960725,205.09768020544658,3.171039514e-315,-5849.001242944147,-5786.68667773538
Aversion,beta3_y,-0.543634907586806,1.831548347606656e-114,7508.872337962735,0.1795037292960725,205.09768020544658,3.171039514e-315,-5849.001242944147,-5786.68667773538
Aversion,beta4_y2,-1.0228884351458007,6.640398900211594e-07,7508.872337962735,0.1795037292960725,205.09768020544658,3.171039514e-315,-5849.001242944147,-5786.68667773538
Aversion,beta5_xy,0.2459929506592251,0.33203654761035617,7508.872337962735,0.1795037292960725,205.09768020544658,3.171039514e-315,-5849.001242944147,-5786.68667773538
Aversion,beta6_c,-0.0352020089319903,0.14278333673337368,7508.872337962735,0.1795037292960725,205.09768020544658,3.171039514e-315,-5849.001242944147,-5786.68667773538
Aversion,beta7_xc,0.17163036876165982,0.03500755808146555,7508.872337962735,0.1795037292960725,205.09768020544658,3.171039514e-315,-5849.001242944147,-5786.68667773538
Aversion,beta8_yc,-0.19870165146273466,0.17435606790209793,7508.872337962735,0.1795037292960725,205.09768020544658,3.171039514e-315,-5849.001242944147,-5786.68667773538
Aversion,model,,3.171039514e-315,7508.872337962735,0.1795037292960725,205.09768020544658,3.171039514e-315,-5849.001242944147,-5786.68667773538
Neutral,beta0,0.5405817981207237,0.0,11347.71112324975,0.2002314729172472,354.8474890405,0.0,-7090.956225031247,-7024.92528297644
Neutral,beta1_x,0.09231182626784196,8.766510341795663e-08,11347.71112324975,0.2002314729172472,354.8474890405,0.0,-7090.956225031247,-7024.92528297644
Neutral,beta2_x2,0.28475437961862066,0.017480217428200596,11347.71112324975,0.2002314729172472,354.8474890405,0.0,-7090.956225031247,-7024.92528297644
Neutral,beta3_y,-0.753396608038556,4.312734520908244e-282,11347.71112324975,0.2002314729172472,354.8474890405,0.0,-7090.956225031247,-7024.92528297644
Neutral,beta4_y2,-0.9393858765141264,2.433898279661881e-07,11347.71112324975,0.2002314729172472,354.8474890405,0.0,-7090.956225031247,-7024.92528297644
Neutral,beta5_xy,0.04658952419843401,0.838437262593001,11347.71112324975,0.2002314729172472,354.8474890405,0.0,-7090.956225031247,-7024.92528297644
Neutral,beta6_c,-0.05911571125115178,0.004372618415336338,11347.71112324975,0.2002314729172472,354.8474890405,0.0,-7090.956225031247,-7024.92528297644
Neutral,beta7_xc,0.06715151726720292,0.33468386138527395,11347.71112324975,0.2002314729172472,354.8474890405,0.0,-7090.956225031247,-7024.92528297644
Neutral,beta8_yc,0.013851691976054063,0.9125918679981087,11347.71112324975,0.2002314729172472,354.8474890405,0.0,-7090.956225031247,-7024.92528297644
Neutral,model,,0.0,11347.71112324975,0.2002314729172472,354.8474890405,0.0,-7090.956225031247,-7024.92528297644
Appreciation,beta0,0.6070408465142839,0.0,3893.4165306323052,0.18119739428397685,107.45052420917169,1.7439016104728627e-162,-3489.9349766434716,-3433.531595613576
Appreciation,beta1_x,-0.007618683185564579,0.7627050921714248,3893.4165306323052,0.18119739428397685,107.45052420917169,1.7439016104728627e-162,-3489.9349766434716,-3433.531595613576
Appreciation,beta2_x2,-0.08412613408930869,0.6239279471058548,3893.4165306323052,0.18119739428397685,107.45052420917169,1.7439016104728627e-162,-3489.9349766434716,-3433.531595613576
Appreciation,beta3_y,-0.4612539146177116,1.645181003171038e-48,3893.4165306323052,0.18119739428397685,107.45052420917169,1.7439016104728627e-162,-3489.9349766434716,-3433.531595613576
Appreciation,beta4_y2,-1.3878545664084487,2.0018922653666472e-07,3893.4165306323052,0.18119739428397685,107.45052420917169,1.7439016104728627e-162,-3489.9349766434716,-3433.531595613576
Appreciation,beta5_xy,0.5558107427653323,0.09896226286194906,3893.4165306323052,0.18119739428397685,107.45052420917169,1.7439016104728627e-162,-3489.9349766434716,-3433.531595613576
Appreciation,beta6_c,-0.0589614662827653,0.02477620350859563,3893.4165306323052,0.18119739428397685,107.45052420917169,1.7439016104728627e-162,-3489.9349766434716,-3433.531595613576
Appreciation,beta7_xc,-0.01882330048065149,0.8391388455242311,3893.4165306323052,0.18119739428397685,107.45052420917169,1.7439016104728627e-162,-3489.9349766434716,-3433.531595613576
Appreciation,beta8_yc,-0.039847548683677236,0.8166568824522149,3893.4165306323052,0.18119739428397685,107.45052420917169,1.7439016104728627e-162,-3489.9349766434716,-3433.531595613576
Appreciation,model,,1.7439016104728627e-162,3893.4165306323052,0.18119739428397685,107.45052420917169,1.7439016104728627e-162,-3489.9349766434716,-3433.531595613576
