joint_effect,from_state,to_state,x_variable,y_variable,x_value,y_value,transition_probability
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.3457964980698282,0.0,0.9999216625586104
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.33334364575916337,0.0,0.99987975231871
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.3208907934484985,0.0,0.9998154206208582
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.3084379411378337,0.0,0.9997166753243233
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.2959850888271688,0.0,0.9995651161661828
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.28353223651650394,0.0,0.9993325196721746
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.2710793842058391,0.0,0.9989756172641385
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.25862653189517426,0.0,0.9984281290851609
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.24617367958450942,0.0,0.9975886550490273
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.23372082727384458,0.0,0.9963023719639512
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.22126797496317974,0.0,0.9943336115053572
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.20881512265251487,0.0,0.9913253451178784
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.19636227034185003,0.0,0.9867406517395609
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.18390941803118518,0.0,0.9797812277356299
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.17145656572052032,0.0,0.969280980736041
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.15900371340985547,0.0,0.9535831142785656
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.14655086109919063,0.0,0.930434579641483
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.1340980087885258,0.0,0.8969817022624628
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.12164515647786095,0.0,0.8500241430428199
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.10919230416719608,0.0,0.7867359119576116
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.09673945185653124,0.0,0.7059580818191241
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.08428659954586637,0.0,0.6097348839044926
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.07183374723520153,0.0,0.5041111531008776
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.05938089492453669,0.0,0.3980885421953995
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.046928042613871845,0.0,0.3008073800949465
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.034475190303207004,0.0,0.21863680808694333
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.022022337992542163,0.0,0.1539480780860198
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,-0.009569485681877321,0.0,0.10579021658045183
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.002883366628787576,0.0,0.07141228002131951
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.015336218939452417,0.0,0.04760144836695905
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.02778907125011726,0.0,0.03145377884517944
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.0402419235607821,0.0,0.020659886125940545
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.05269477587144694,0.0,0.013514760414777588
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.06514762818211178,0.0,0.008815903310493629
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.07760048049277662,0.0,0.005739418531616325
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.09005333280344147,0.0,0.0037311963190292327
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.10250618511410631,0.0,0.002423025522625919
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.1149590374247712,0.0,0.0015721386839551565
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.12741188973543605,0.0,0.0010192998424551738
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.1398647420461009,0.0,0.0006604216038198234
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.15231759435676573,0.0,0.00042762380049847287
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.16477044666743063,0.0,0.00027671035346783605
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.17722329897809547,0.0,0.00017893929588117446
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.1896761512887603,0.0,0.00011563549285221088
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.20212900359942515,0.0,7.467342682516538e-05
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.21458185591009,0.0,4.8185006080491816e-05
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.22703470822075483,0.0,3.106760563060686e-05
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.23948756053141967,0.0,2.0013864511235307e-05
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.2519404128420845,0.0,1.2881225751024696e-05
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.26439326515274936,0.0,8.282491100289754e-06
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.2768461174634142,0.0,5.3200502321776076e-06
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.28929896977407904,0.0,3.413453533360496e-06
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.3017518220847439,0.0,2.187598456636399e-06
neutral_peer_target,Neutral,Aversion,team_vs_peer_average,target_attainment,0.3142046743954087,0.0,1.4002575177738789e-06
