component,comparison,state,variable,estimate,p_value,to_state
emission_sigma,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,Escalation share,-0.0021823077045715067,,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,Decision latency,0.002510962976618049,0.6724069941199857,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,Demand volatility,-0.0027113840807984407,0.5281945303638216,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,Forecast accuracy,0.002026401537282961,0.6212591470792981,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,Performance pressure,6.544909362087709e-05,0.9889002335205703,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,Recent negative shock,0.002841956769746975,0.3238637921929085,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,Supply disruptions,0.0007817161153457416,0.8437660435818404,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,Target difficulty,-0.0021721464516634903,0.6178571422811807,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,Task complexity,0.0009605553626442082,0.8480014923879042,
emission_intercept,"Asia-Pacific minus Europe, Middle East, Africa",Aversion,Emission intercept,0.003465441692111156,0.3996565919708528,
emission_sigma,"North, Central, South America minus Europe, Middle East, Africa",Aversion,Escalation share,-0.00032064475884169275,,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Aversion,Decision latency,0.010701827676656984,0.12064977359003061,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Aversion,Demand volatility,-0.0038980855476247983,0.41806560487551325,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Aversion,Forecast accuracy,0.0010552570482943308,0.8347362889199342,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Aversion,Performance pressure,-0.0015548369414612635,0.8031870924015342,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Aversion,Recent negative shock,-0.002448949818351049,0.5086439676919392,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Aversion,Supply disruptions,-0.0035929477550215444,0.4427396864645947,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Aversion,Target difficulty,0.0002576917677780859,0.9631612279707539,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Aversion,Task complexity,-0.008467141690073437,0.14118079872768094,
emission_intercept,"North, Central, South America minus Europe, Middle East, Africa",Aversion,Emission intercept,0.004676318226959377,0.3374867262611104,
emission_sigma,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,Escalation share,0.0024525933125870425,,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,Decision latency,0.010419027321643463,0.040147600393207,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,Demand volatility,-0.0002898882325181716,0.9349511194572091,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,Forecast accuracy,8.451958350829544e-05,0.9787620846515117,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,Performance pressure,0.011759251679502857,0.004152928617966888,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,Recent negative shock,0.0008052464485015543,0.7957026477438041,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,Supply disruptions,0.0074637976213101555,0.013331549425293396,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,Target difficulty,-0.004118728450182205,0.23214002622826524,
emission_control,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,Task complexity,-0.008248495215020572,0.04404796109845378,
emission_intercept,"Asia-Pacific minus Europe, Middle East, Africa",Neutral,Emission intercept,0.002199012573192615,0.5103523853243577,
emission_sigma,"North, Central, South America minus Europe, Middle East, Africa",Neutral,Escalation share,-0.0017085883875830599,,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Neutral,Decision latency,0.017334245878573257,0.0030340066516528555,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Neutral,Demand volatility,-0.004534439768998045,0.22638298847226124,
emission_control,"North, Central, South America minus Europe, Middle East, Africa",Neutral,Forecast accuracy,-0.0016529878253078503,0.6577529192285188,
