manager_id,three_period_path,previous_state,current_state,next_state,path_count,path_share
M0001,Neutral -> Neutral -> Neutral,Neutral,Neutral,Neutral,6,0.25
M0001,Aversion -> Aversion -> Aversion,Aversion,Aversion,Aversion,6,0.25
M0001,Neutral -> Aversion -> Aversion,Neutral,Aversion,Aversion,4,0.16666666666666666
M0001,Aversion -> Aversion -> Neutral,Aversion,Aversion,Neutral,3,0.125
M0001,Neutral -> Neutral -> Aversion,Neutral,Neutral,Aversion,2,0.08333333333333333
M0001,Aversion -> Neutral -> Aversion,Aversion,Neutral,Aversion,2,0.08333333333333333
M0001,Aversion -> Neutral -> Neutral,Aversion,Neutral,Neutral,1,0.041666666666666664
M0002,Appreciation -> Appreciation -> Appreciation,Appreciation,Appreciation,Appreciation,11,0.4583333333333333
M0002,Aversion -> Aversion -> Aversion,Aversion,Aversion,Aversion,2,0.08333333333333333
M0002,Neutral -> Aversion -> Aversion,Neutral,Aversion,Aversion,2,0.08333333333333333
M0002,Aversion -> Aversion -> Neutral,Aversion,Aversion,Neutral,2,0.08333333333333333
M0002,Aversion -> Neutral -> Aversion,Aversion,Neutral,Aversion,1,0.041666666666666664
M0002,Neutral -> Neutral -> Neutral,Neutral,Neutral,Neutral,1,0.041666666666666664
M0002,Aversion -> Neutral -> Neutral,Aversion,Neutral,Neutral,1,0.041666666666666664
M0002,Neutral -> Neutral -> Aversion,Neutral,Neutral,Aversion,1,0.041666666666666664
M0002,Neutral -> Aversion -> Neutral,Neutral,Aversion,Neutral,1,0.041666666666666664
M0002,Aversion -> Neutral -> Appreciation,Aversion,Neutral,Appreciation,1,0.041666666666666664
M0002,Neutral -> Appreciation -> Appreciation,Neutral,Appreciation,Appreciation,1,0.041666666666666664
M0003,Aversion -> Aversion -> Aversion,Aversion,Aversion,Aversion,8,0.3333333333333333
M0003,Aversion -> Neutral -> Aversion,Aversion,Neutral,Aversion,5,0.20833333333333334
M0003,Neutral -> Aversion -> Aversion,Neutral,Aversion,Aversion,4,0.16666666666666666
M0003,Aversion -> Aversion -> Neutral,Aversion,Aversion,Neutral,3,0.125
M0003,Neutral -> Aversion -> Neutral,Neutral,Aversion,Neutral,2,0.08333333333333333
M0003,Neutral -> Neutral -> Aversion,Neutral,Neutral,Aversion,1,0.041666666666666664
M0003,Neutral -> Neutral -> Neutral,Neutral,Neutral,Neutral,1,0.041666666666666664
M0004,Aversion -> Aversion -> Aversion,Aversion,Aversion,Aversion,13,0.5416666666666666
M0004,Neutral -> Neutral -> Neutral,Neutral,Neutral,Neutral,6,0.25
M0004,Neutral -> Aversion -> Aversion,Neutral,Aversion,Aversion,2,0.08333333333333333
M0004,Neutral -> Neutral -> Aversion,Neutral,Neutral,Aversion,1,0.041666666666666664
M0004,Aversion -> Aversion -> Neutral,Aversion,Aversion,Neutral,1,0.041666666666666664
M0004,Aversion -> Neutral -> Aversion,Aversion,Neutral,Aversion,1,0.041666666666666664
M0005,Neutral -> Neutral -> Neutral,Neutral,Neutral,Neutral,6,0.25
M0005,Appreciation -> Appreciation -> Appreciation,Appreciation,Appreciation,Appreciation,6,0.25
M0005,Aversion -> Neutral -> Aversion,Aversion,Neutral,Aversion,2,0.08333333333333333
M0005,Neutral -> Aversion -> Neutral,Neutral,Aversion,Neutral,2,0.08333333333333333
M0005,Neutral -> Neutral -> Aversion,Neutral,Neutral,Aversion,1,0.041666666666666664
M0005,Neutral -> Aversion -> Aversion,Neutral,Aversion,Aversion,1,0.041666666666666664
M0005,Aversion -> Neutral -> Neutral,Aversion,Neutral,Neutral,1,0.041666666666666664
M0005,Aversion -> Aversion -> Neutral,Aversion,Aversion,Neutral,1,0.041666666666666664
M0005,Neutral -> Neutral -> Appreciation,Neutral,Neutral,Appreciation,1,0.041666666666666664
M0005,Neutral -> Appreciation -> Appreciation,Neutral,Appreciation,Appreciation,1,0.041666666666666664
M0005,Appreciation -> Appreciation -> Neutral,Appreciation,Appreciation,Neutral,1,0.041666666666666664
M0005,Appreciation -> Neutral -> Aversion,Appreciation,Neutral,Aversion,1,0.041666666666666664
M0006,Appreciation -> Appreciation -> Appreciation,Appreciation,Appreciation,Appreciation,8,0.3333333333333333
M0006,Neutral -> Neutral -> Neutral,Neutral,Neutral,Neutral,7,0.2916666666666667
M0006,Aversion -> Aversion -> Aversion,Aversion,Aversion,Aversion,3,0.125
M0006,Neutral -> Aversion -> Aversion,Neutral,Aversion,Aversion,1,0.041666666666666664
M0006,Neutral -> Neutral -> Aversion,Neutral,Neutral,Aversion,1,0.041666666666666664
