manager_id,from_state,to_state,transition_count,from_state_transition_count,transition_rate
M0001,Aversion,Aversion,10,13,0.7692307692307693
M0001,Aversion,Neutral,3,13,0.23076923076923078
M0001,Aversion,Appreciation,0,13,0.0
M0001,Neutral,Aversion,4,12,0.3333333333333333
M0001,Neutral,Neutral,8,12,0.6666666666666666
M0001,Neutral,Appreciation,0,12,0.0
M0001,Appreciation,Aversion,0,0,
M0001,Appreciation,Neutral,0,0,
M0001,Appreciation,Appreciation,0,0,
M0002,Aversion,Aversion,4,7,0.5714285714285714
M0002,Aversion,Neutral,3,7,0.42857142857142855
M0002,Aversion,Appreciation,0,7,0.0
M0002,Neutral,Aversion,3,6,0.5
M0002,Neutral,Neutral,2,6,0.3333333333333333
M0002,Neutral,Appreciation,1,6,0.16666666666666666
M0002,Appreciation,Aversion,0,12,0.0
M0002,Appreciation,Neutral,0,12,0.0
M0002,Appreciation,Appreciation,12,12,1.0
M0003,Aversion,Aversion,12,17,0.7058823529411765
M0003,Aversion,Neutral,5,17,0.29411764705882354
M0003,Aversion,Appreciation,0,17,0.0
M0003,Neutral,Aversion,6,8,0.75
M0003,Neutral,Neutral,2,8,0.25
M0003,Neutral,Appreciation,0,8,0.0
M0003,Appreciation,Aversion,0,0,
M0003,Appreciation,Neutral,0,0,
M0003,Appreciation,Appreciation,0,0,
M0004,Aversion,Aversion,15,16,0.9375
M0004,Aversion,Neutral,1,16,0.0625
M0004,Aversion,Appreciation,0,16,0.0
M0004,Neutral,Aversion,2,9,0.2222222222222222
M0004,Neutral,Neutral,7,9,0.7777777777777778
M0004,Neutral,Appreciation,0,9,0.0
M0004,Appreciation,Aversion,0,0,
M0004,Appreciation,Neutral,0,0,
M0004,Appreciation,Appreciation,0,0,
M0005,Aversion,Aversion,1,4,0.25
M0005,Aversion,Neutral,3,4,0.75
M0005,Aversion,Appreciation,0,4,0.0
M0005,Neutral,Aversion,4,13,0.3076923076923077
M0005,Neutral,Neutral,8,13,0.6153846153846154
M0005,Neutral,Appreciation,1,13,0.07692307692307693
M0005,Appreciation,Aversion,0,8,0.0
M0005,Appreciation,Neutral,1,8,0.125
M0005,Appreciation,Appreciation,7,8,0.875
M0006,Aversion,Aversion,4,5,0.8
M0006,Aversion,Neutral,1,5,0.2
M0006,Aversion,Appreciation,0,5,0.0
M0006,Neutral,Aversion,1,11,0.09090909090909091
M0006,Neutral,Neutral,9,11,0.8181818181818182
M0006,Neutral,Appreciation,1,11,0.09090909090909091
M0006,Appreciation,Aversion,0,9,0.0
M0006,Appreciation,Neutral,0,9,0.0
M0006,Appreciation,Appreciation,9,9,1.0
M0007,Aversion,Aversion,2,4,0.5
M0007,Aversion,Neutral,2,4,0.5
M0007,Aversion,Appreciation,0,4,0.0
M0007,Neutral,Aversion,2,18,0.1111111111111111
M0007,Neutral,Neutral,14,18,0.7777777777777778
M0007,Neutral,Appreciation,2,18,0.1111111111111111
M0007,Appreciation,Aversion,0,3,0.0
M0007,Appreciation,Neutral,1,3,0.3333333333333333
M0007,Appreciation,Appreciation,2,3,0.6666666666666666
M0008,Aversion,Aversion,0,2,0.0
M0008,Aversion,Neutral,2,2,1.0
M0008,Aversion,Appreciation,0,2,0.0
M0008,Neutral,Aversion,2,16,0.125
M0008,Neutral,Neutral,12,16,0.75
M0008,Neutral,Appreciation,2,16,0.125
M0008,Appreciation,Aversion,0,7,0.0
M0008,Appreciation,Neutral,2,7,0.2857142857142857
M0008,Appreciation,Appreciation,5,7,0.7142857142857143
M0009,Aversion,Aversion,1,4,0.25
M0009,Aversion,Neutral,3,4,0.75
M0009,Aversion,Appreciation,0,4,0.0
M0009,Neutral,Aversion,3,15,0.2
M0009,Neutral,Neutral,10,15,0.6666666666666666
M0009,Neutral,Appreciation,2,15,0.13333333333333333
M0009,Appreciation,Aversion,0,6,0.0
M0009,Appreciation,Neutral,2,6,0.3333333333333333
M0009,Appreciation,Appreciation,4,6,0.6666666666666666
M0010,Aversion,Aversion,6,11,0.5454545454545454
