manager_id,n_periods,decoded_state_sequence,dominant_state,aversion_periods,aversion_share,neutral_periods,neutral_share,appreciation_periods,appreciation_share,upward_transitions,downward_transitions,same_state_transitions,net_state_movement
M0001,26,N N N N N N N N A A A N A A A A A A N A A A N N A A,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,3,4,18,-1
M0002,26,N A A A N A A A N N N A N P P P P P P P P P P P P P,Appreciation,7,0.2692307692307692,6,0.23076923076923078,13,0.5,4,3,18,1
M0003,26,N N N A A A A A N A N A A A A N A N A A N A A A A A,Aversion,18,0.6923076923076923,8,0.3076923076923077,0,0.0,5,6,14,-1
M0004,26,N N N N N N N N A A N A A A A A A A A A A A A A A A,Aversion,17,0.6538461538461539,9,0.34615384615384615,0,0.0,1,2,22,-1
M0005,26,N N N N N N A N A N A A N N N N P P P P P P P P N A,Neutral,5,0.19230769230769232,13,0.5,8,0.3076923076923077,4,5,16,-1
M0006,26,N N N A A A A A N N N N N N N N P P P P P P P P P P,Neutral,5,0.19230769230769232,11,0.4230769230769231,10,0.38461538461538464,2,1,22,1
M0007,26,N N N A N N N N N N N N N A A A N N P P P N N N N P,Neutral,4,0.15384615384615385,18,0.6923076923076923,4,0.15384615384615385,4,3,18,1
M0008,26,N N N N A N N N N N N N N N P P P P P P N P N N A N,Neutral,2,0.07692307692307693,17,0.6538461538461539,7,0.2692307692307692,4,4,17,0
M0009,26,N N A A N A N N A N N N N N N P P N N N N P P P P N,Neutral,4,0.15384615384615385,16,0.6153846153846154,6,0.23076923076923078,5,5,15,0
M0010,26,N A N A A A N N N N N N N N N A N A A N A A A A N A,Neutral,12,0.46153846153846156,14,0.5384615384615384,0,0.0,5,6,14,-1
M0011,26,N N N N N N N N N N N N N N A A A A A N A A N N P N,Neutral,7,0.2692307692307692,18,0.6923076923076923,1,0.038461538461538464,3,3,19,0
M0012,26,N N N N N N N N A A A A A A N N N A A A A N N A A N,Neutral,12,0.46153846153846156,14,0.5384615384615384,0,0.0,3,3,19,0
M0013,26,N N A N N N A N A A N N N N N N N P P N N P P P P P,Neutral,4,0.15384615384615385,15,0.5769230769230769,7,0.2692307692307692,5,4,16,1
M0014,26,A A N N N N A N A N A A A N N N N N N A A A A A A A,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,4,4,17,0
M0015,26,N N N N N N N N N N N N A N N A A A A A A A A A A A,Neutral,12,0.46153846153846156,14,0.5384615384615384,0,0.0,1,2,22,-1
M0016,26,N A N A A A A A A A A A A A A A N A N P P P P P P P,Aversion,15,0.5769230769230769,4,0.15384615384615385,7,0.2692307692307692,4,3,18,1
M0017,26,N N N N N N N N N N N N A A A N A A A A A N N P P P,Neutral,8,0.3076923076923077,15,0.5769230769230769,3,0.11538461538461539,3,2,20,1
