manager_id,n_periods,decoded_state_sequence,dominant_state,aversion_periods,aversion_share,neutral_periods,neutral_share,appreciation_periods,appreciation_share,upward_transitions,downward_transitions,same_state_transitions,net_state_movement,neutral_to_appreciation_rate,neutral_to_aversion_rate,neutral_persistence_rate,appreciation_persistence_rate,appreciation_to_neutral_rate,aversion_to_neutral_rate,aversion_persistence_rate
M0001,26,N N N N N N N N A A A N A A A A A A N A A A N N A A,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,3,4,18,-1,0.0,0.3333333333333333,0.6666666666666666,,,0.23076923076923078,0.7692307692307693
M0002,26,N A A A N A A A N N N A N P P P P P P P P P P P P P,Appreciation,7,0.2692307692307692,6,0.23076923076923078,13,0.5,4,3,18,1,0.16666666666666666,0.5,0.3333333333333333,1.0,0.0,0.42857142857142855,0.5714285714285714
M0003,26,N N N A A A A A N A N A A A A N A N A A N A A A A A,Aversion,18,0.6923076923076923,8,0.3076923076923077,0,0.0,5,6,14,-1,0.0,0.75,0.25,,,0.29411764705882354,0.7058823529411765
M0004,26,N N N N N N N N A A N A A A A A A A A A A A A A A A,Aversion,17,0.6538461538461539,9,0.34615384615384615,0,0.0,1,2,22,-1,0.0,0.2222222222222222,0.7777777777777778,,,0.0625,0.9375
M0005,26,N N N N N N A N A N A A N N N N P P P P P P P P N A,Neutral,5,0.19230769230769232,13,0.5,8,0.3076923076923077,4,5,16,-1,0.07692307692307693,0.3076923076923077,0.6153846153846154,0.875,0.125,0.75,0.25
M0006,26,N N N A A A A A N N N N N N N N P P P P P P P P P P,Neutral,5,0.19230769230769232,11,0.4230769230769231,10,0.38461538461538464,2,1,22,1,0.09090909090909091,0.09090909090909091,0.8181818181818182,1.0,0.0,0.2,0.8
M0007,26,N N N A N N N N N N N N N A A A N N P P P N N N N P,Neutral,4,0.15384615384615385,18,0.6923076923076923,4,0.15384615384615385,4,3,18,1,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.6666666666666666,0.3333333333333333,0.5,0.5
M0008,26,N N N N A N N N N N N N N N P P P P P P N P N N A N,Neutral,2,0.07692307692307693,17,0.6538461538461539,7,0.2692307692307692,4,4,17,0,0.125,0.125,0.75,0.7142857142857143,0.2857142857142857,1.0,0.0
M0009,26,N N A A N A N N A N N N N N N P P N N N N P P P P N,Neutral,4,0.15384615384615385,16,0.6153846153846154,6,0.23076923076923078,5,5,15,0,0.13333333333333333,0.2,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.75,0.25
M0010,26,N A N A A A N N N N N N N N N A N A A N A A A A N A,Neutral,12,0.46153846153846156,14,0.5384615384615384,0,0.0,5,6,14,-1,0.0,0.42857142857142855,0.5714285714285714,,,0.45454545454545453,0.5454545454545454
M0011,26,N N N N N N N N N N N N N N A A A A A N A A N N P N,Neutral,7,0.2692307692307692,18,0.6923076923076923,1,0.038461538461538464,3,3,19,0,0.058823529411764705,0.11764705882352941,0.8235294117647058,0.0,1.0,0.2857142857142857,0.7142857142857143
M0012,26,N N N N N N N N A A A A A A N N N A A A A N N A A N,Neutral,12,0.46153846153846156,14,0.5384615384615384,0,0.0,3,3,19,0,0.0,0.23076923076923078,0.7692307692307693,,,0.25,0.75
M0013,26,N N A N N N A N A A N N N N N N N P P N N P P P P P,Neutral,4,0.15384615384615385,15,0.5769230769230769,7,0.2692307692307692,5,4,16,1,0.13333333333333333,0.2,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.75,0.25
M0014,26,A A N N N N A N A N A A A N N N N N N A A A A A A A,Aversion,14,0.5384615384615384,12,0.46153846153846156,0,0.0,4,4,17,0,0.0,0.3333333333333333,0.6666666666666666,,,0.3076923076923077,0.6923076923076923
M0015,26,N N N N N N N N N N N N A N N A A A A A A A A A A A,Neutral,12,0.46153846153846156,14,0.5384615384615384,0,0.0,1,2,22,-1,0.0,0.14285714285714285,0.8571428571428571,,,0.09090909090909091,0.9090909090909091
M0016,26,N A N A A A A A A A A A A A A A N A N P P P P P P P,Aversion,15,0.5769230769230769,4,0.15384615384615385,7,0.2692307692307692,4,3,18,1,0.25,0.75,0.0,1.0,0.0,0.2,0.8
M0017,26,N N N N N N N N N N N N A A A N A A A A A N N P P P,Neutral,8,0.3076923076923077,15,0.5769230769230769,3,0.11538461538461539,3,2,20,1,0.06666666666666667,0.13333333333333333,0.8,1.0,0.0,0.25,0.75
M0018,26,N N N A N N N N N N N N N A A A A A A A A A A N N A,Neutral,12,0.46153846153846156,14,0.5384615384615384,0,0.0,2,3,20,-1,0.0,0.21428571428571427,0.7857142857142857,,,0.18181818181818182,0.8181818181818182
M0019,26,N N N N A A A A A A A A A A A A N N P N N A A A A A,Aversion,17,0.6538461538461539,8,0.3076923076923077,1,0.038461538461538464,2,3,20,-1,0.125,0.25,0.625,0.0,1.0,0.0625,0.9375
M0020,26,N N A A A N N A A A A A N A A A A A A N A A N A A A,Aversion,19,0.7307692307692307,7,0.2692307692307692,0,0.0,4,5,16,-1,0.0,0.7142857142857143,0.2857142857142857,,,0.2222222222222222,0.7777777777777778
M0021,26,N N N N N N N A N N N N N N N P P P P P P P P P N A,Neutral,2,0.07692307692307693,15,0.5769230769230769,9,0.34615384615384615,2,3,20,-1,0.06666666666666667,0.13333333333333333,0.8,0.8888888888888888,0.1111111111111111,1.0,0.0
M0022,26,N N N N N N N N N N N P P P P P P P P P P P P P P P,Appreciation,0,0.0,11,0.4230769230769231,15,0.5769230769230769,1,0,24,1,0.09090909090909091,0.0,0.9090909090909091,1.0,0.0,,
M0023,26,N N N N N N N N N N A N N N N N N P A P P P P P P P,Neutral,2,0.07692307692307693,16,0.6153846153846154,8,0.3076923076923077,3,2,20,1,0.0625,0.0625,0.875,0.8571428571428571,0.0,0.5,0.0
M0024,26,N N N A A A A A A N A N N A N N A N N A A N N P N N,Neutral,11,0.4230769230769231,14,0.5384615384615384,1,0.038461538461538464,6,6,13,0,0.07692307692307693,0.38461538461538464,0.5384615384615384,0.0,1.0,0.45454545454545453,0.5454545454545454
