driver,driver_label,driver_level,driver_level_order,state_at_t,state_at_t_order,Aversion,Aversion_n,origin_count,Neutral,Neutral_n,Appreciation,Appreciation_n
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Low,0,Aversion,0,63.9%,1718,2523,34.8%,771,1.3%,34
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Low,0,Neutral,1,26.0%,836,3572,67.8%,2529,6.2%,207
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Low,0,Appreciation,2,0.5%,5,1197,17.9%,156,81.6%,1036
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Medium,1,Aversion,0,63.6%,1676,2450,34.3%,737,2.1%,37
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Medium,1,Neutral,1,28.0%,879,3704,65.3%,2578,6.7%,247
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),Medium,1,Appreciation,2,0.0%,0,1137,14.4%,123,85.6%,1014
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),High,2,Aversion,0,65.1%,1734,2500,33.7%,743,1.2%,23
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),High,2,Neutral,1,29.4%,944,3580,63.9%,2392,6.7%,244
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),High,2,Appreciation,2,0.2%,2,1212,16.3%,153,83.5%,1057
team_vs_peer_average,Team vs. Peer Average,Low,0,Aversion,0,61.0%,1799,2667,37.6%,833,1.5%,35
team_vs_peer_average,Team vs. Peer Average,Low,0,Neutral,1,29.3%,917,3496,64.0%,2367,6.7%,212
team_vs_peer_average,Team vs. Peer Average,Low,0,Appreciation,2,0.2%,4,1129,17.1%,136,82.7%,989
team_vs_peer_average,Team vs. Peer Average,Medium,1,Aversion,0,63.1%,1666,2437,35.8%,742,1.1%,29
team_vs_peer_average,Team vs. Peer Average,Medium,1,Neutral,1,29.2%,942,3746,64.6%,2575,6.2%,229
team_vs_peer_average,Team vs. Peer Average,Medium,1,Appreciation,2,0.2%,1,1108,16.6%,141,83.2%,966
team_vs_peer_average,Team vs. Peer Average,High,2,Aversion,0,64.1%,1663,2369,34.1%,676,1.8%,30
team_vs_peer_average,Team vs. Peer Average,High,2,Neutral,1,27.3%,800,3614,64.7%,2557,8.0%,257
team_vs_peer_average,Team vs. Peer Average,High,2,Appreciation,2,0.1%,2,1309,16.5%,155,83.3%,1152
target_attainment,Target Attainment,Low,0,Aversion,0,60.2%,4756,6935,38.3%,2094,1.5%,85
target_attainment,Target Attainment,Low,0,Neutral,1,28.2%,2488,10069,65.2%,6946,6.6%,635
target_attainment,Target Attainment,Low,0,Appreciation,2,0.3%,6,3158,20.7%,389,79.0%,2763
target_attainment,Target Attainment,High,2,Aversion,0,67.3%,372,538,30.2%,157,2.5%,9
target_attainment,Target Attainment,High,2,Neutral,1,25.2%,171,787,66.3%,553,8.4%,63
target_attainment,Target Attainment,High,2,Appreciation,2,0.4%,1,388,11.7%,43,87.9%,344
