candidate,controls,control,joint_wald_chi2,df,p_value,significance
k1__decision_latency,decision_latency,decision_latency,2.390469002303192,6,0.8805188987451177,
k1__task_complexity,task_complexity,task_complexity,0.0706468921345688,6,0.9999928461052948,
k1__target_difficulty,target_difficulty,target_difficulty,0.4228429044134137,6,0.9986547599422264,
k1__demand_volatility,demand_volatility,demand_volatility,0.2848565031317357,6,0.999567075841535,
k1__forecast_accuracy,forecast_accuracy,forecast_accuracy,0.5681783981681194,6,0.9969072364529764,
k1__performance_pressure,performance_pressure,performance_pressure,0.1998928578618403,6,0.9998455891719472,
k1__supply_disruptions,supply_disruptions,supply_disruptions,0.5079974569171517,6,0.997739817733405,
k1__recent_negative_shock,recent_negative_shock,recent_negative_shock,0.1588514413405612,6,0.9999213111452973,
k2__decision_latency__task_complexity,"decision_latency, task_complexity",decision_latency,3.801597356181613,6,0.7035047287147222,
k2__decision_latency__task_complexity,"decision_latency, task_complexity",task_complexity,1.391567706482535,6,0.9663693574687173,
k2__decision_latency__target_difficulty,"decision_latency, target_difficulty",decision_latency,1.289328081684163,6,0.9722429012282486,
k2__decision_latency__target_difficulty,"decision_latency, target_difficulty",target_difficulty,0.23576054027159501,6,0.9997500288152199,
k2__decision_latency__demand_volatility,"decision_latency, demand_volatility",decision_latency,2.174834493809464,6,0.9029371749640588,
k2__decision_latency__demand_volatility,"decision_latency, demand_volatility",demand_volatility,0.33554976330458053,6,0.9993055945108189,
k2__task_complexity__target_difficulty,"task_complexity, target_difficulty",task_complexity,0.03467856506746405,6,0.9999991423762411,
k2__task_complexity__target_difficulty,"task_complexity, target_difficulty",target_difficulty,0.3863106189158496,6,0.9989601730766479,
k2__forecast_accuracy__supply_disruptions,"forecast_accuracy, supply_disruptions",forecast_accuracy,0.3516082701397803,6,0.9992058051436742,
k2__forecast_accuracy__supply_disruptions,"forecast_accuracy, supply_disruptions",supply_disruptions,0.1474803392959599,6,0.9999367607231099,
k2__performance_pressure__recent_negative_shock,"performance_pressure, recent_negative_shock",performance_pressure,0.20248688081790295,6,0.9998396546866122,
k2__performance_pressure__recent_negative_shock,"performance_pressure, recent_negative_shock",recent_negative_shock,0.10588563191421307,6,0.999976228960543,
