candidate,controls,K,transition_cols,P,LL,AIC,BIC,k_params,n_obs,soft_converged,scipy_success,iterations,runtime_min,individual_control_cells_p_lt_0_10,individual_control_cells_p_lt_0_05,individual_control_cells_p_lt_0_01,joint_controls_p_lt_0_10,joint_controls_p_lt_0_05,joint_controls_p_lt_0_01,all_retained_controls_joint_p_lt_0_10,all_retained_controls_joint_p_lt_0_05,message
k1__decision_latency,decision_latency,1,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-49294.84390277023,98703.68780554044,99161.53006973006,57,22750,False,False,180,6.353446865081788,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k1__task_complexity,task_complexity,1,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-53627.845336312224,107369.69067262443,107827.53293681404,57,22750,False,False,180,6.203576536973317,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k1__target_difficulty,target_difficulty,1,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-52453.91263275707,105021.82526551414,105479.66752970374,57,22750,False,False,180,6.853474962711334,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k1__demand_volatility,demand_volatility,1,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-52907.04705348208,105928.09410696416,106385.93637115376,57,22750,False,False,180,7.067680017153422,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k1__forecast_accuracy,forecast_accuracy,1,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-52231.57869946624,104577.15739893248,105034.99966312209,57,22750,False,False,180,6.017753310998281,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k1__performance_pressure,performance_pressure,1,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-53300.90164757437,106715.80329514874,107173.64555933834,57,22750,False,False,180,6.709045052528381,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k1__supply_disruptions,supply_disruptions,1,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-53074.12670530316,106262.25341060632,106720.09567479591,57,22750,False,False,180,7.128423651059468,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k1__recent_negative_shock,recent_negative_shock,1,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-53331.45822810452,106776.91645620904,107234.75872039863,57,22750,False,False,180,6.772679424285888,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k2__decision_latency__task_complexity,"decision_latency, task_complexity",2,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-44830.39313813077,89786.78627626154,90292.82246299743,63,22750,False,False,120,5.185115345319113,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k2__decision_latency__target_difficulty,"decision_latency, target_difficulty",2,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-48667.39547503522,97460.79095007044,97966.82713680633,63,22750,False,False,120,5.641975756486257,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k2__decision_latency__demand_volatility,"decision_latency, demand_volatility",2,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-47896.94118022069,95919.88236044138,96425.91854717727,63,22750,False,False,120,5.243306843439738,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k2__task_complexity__target_difficulty,"task_complexity, target_difficulty",2,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-52313.51687290518,104753.03374581036,105259.06993254625,63,22750,False,False,120,5.042668143908183,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k2__forecast_accuracy__supply_disruptions,"forecast_accuracy, supply_disruptions",2,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-51508.99339920094,103143.98679840188,103650.02298513777,63,22750,False,False,120,5.126967251300812,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k2__performance_pressure__recent_negative_shock,"performance_pressure, recent_negative_shock",2,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-52671.247435018915,105468.49487003783,105974.53105677372,63,22750,False,False,120,5.328173875808716,0,0,0,0,0,0,False,False,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
k0__no_emission_controls,,0,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",3,-53891.33445556472,107884.66891112944,108294.31725277277,51,22750,True,True,201,8.34,0,0,0,0,0,0,False,False,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
