region,state_label,n_manager_periods,share_within_region
DE-East,Appreciation,1602,0.1817562968005446
DE-East,Aversion,2903,0.3293623780349444
DE-East,Neutral,4309,0.488881325164511
DE-South,Appreciation,217,0.12645687645687645
DE-South,Aversion,667,0.3886946386946387
DE-South,Neutral,832,0.48484848484848486
DE-West,Appreciation,1096,0.17205651491365778
DE-West,Aversion,2170,0.34065934065934067
DE-West,Neutral,3104,0.4872841444270016
EU-Other,Appreciation,984,0.1682051282051282
EU-Other,Aversion,2068,0.3535042735042735
EU-Other,Neutral,2798,0.4782905982905983
