region,from_state,to_state,n_transitions,share_from_state_region
DE-East,Aversion,Aversion,1895,0.6821454283657308
DE-East,Aversion,Neutral,847,0.3048956083513319
DE-East,Aversion,Appreciation,36,0.012958963282937365
DE-East,Neutral,Aversion,1003,0.23683589138134592
DE-East,Neutral,Neutral,2941,0.6944510035419126
DE-East,Neutral,Appreciation,291,0.06871310507674144
DE-East,Appreciation,Aversion,2,0.0013679890560875513
DE-East,Appreciation,Neutral,185,0.1265389876880985
DE-East,Appreciation,Appreciation,1275,0.872093023255814
DE-South,Aversion,Aversion,448,0.6956521739130435
DE-South,Aversion,Neutral,186,0.2888198757763975
DE-South,Aversion,Appreciation,10,0.015527950310559006
DE-South,Neutral,Aversion,216,0.2650306748466258
DE-South,Neutral,Neutral,556,0.6822085889570552
DE-South,Neutral,Appreciation,43,0.05276073619631902
DE-South,Appreciation,Aversion,1,0.005235602094240838
DE-South,Appreciation,Neutral,26,0.13612565445026178
DE-South,Appreciation,Appreciation,164,0.8586387434554974
DE-West,Aversion,Aversion,1396,0.6724470134874759
DE-West,Aversion,Neutral,658,0.31695568400770713
DE-West,Aversion,Appreciation,22,0.010597302504816955
DE-West,Neutral,Aversion,765,0.25057320668195215
DE-West,Neutral,Neutral,2093,0.6855551916148052
DE-West,Neutral,Appreciation,195,0.06387160170324271
DE-West,Appreciation,Aversion,3,0.0030120481927710845
DE-West,Appreciation,Neutral,114,0.1144578313253012
DE-West,Appreciation,Appreciation,879,0.8825301204819277
EU-Other,Aversion,Aversion,1389,0.7032911392405063
EU-Other,Aversion,Neutral,560,0.28354430379746837
EU-Other,Aversion,Appreciation,26,0.013164556962025316
EU-Other,Neutral,Aversion,675,0.24518706865237921
EU-Other,Neutral,Neutral,1909,0.6934253541590991
EU-Other,Neutral,Appreciation,169,0.061387577188521614
EU-Other,Appreciation,Aversion,1,0.0011148272017837235
EU-Other,Appreciation,Neutral,107,0.11928651059085842
EU-Other,Appreciation,Appreciation,789,0.8795986622073578
