covariate,covariate_label,covariate_value_original,covariate_value_standardized,from_state_order,from_state,to_state_order,to_state,transition_probability
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.18440774607765303,-1.6174532876303385,1,Aversion,1,Aversion,0.40625033269840516
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.18440774607765303,-1.6174532876303385,1,Aversion,2,Neutral,0.5923683852961658
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.18440774607765303,-1.6174532876303385,1,Aversion,3,Appreciation,0.0013812820054291178
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.17981770379385364,-1.5766011457082802,1,Aversion,1,Aversion,0.40427372743272166
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.17981770379385364,-1.5766011457082802,1,Aversion,2,Neutral,0.5943150331568233
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.17981770379385364,-1.5766011457082802,1,Aversion,3,Appreciation,0.0014112394104551452
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.17522766151005426,-1.5357490037862223,1,Aversion,1,Aversion,0.4023000353997769
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.17522766151005426,-1.5357490037862223,1,Aversion,2,Neutral,0.5962581420915272
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.17522766151005426,-1.5357490037862223,1,Aversion,3,Appreciation,0.0014418225086960147
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.17063761922625487,-1.494896861864164,1,Aversion,1,Aversion,0.4003293130029293
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.17063761922625487,-1.494896861864164,1,Aversion,2,Neutral,0.5981976431493331
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.17063761922625487,-1.494896861864164,1,Aversion,3,Appreciation,0.001473043847737657
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.16604757694245548,-1.4540447199421058,1,Aversion,1,Aversion,0.39836161623881117
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.16604757694245548,-1.4540447199421058,1,Aversion,2,Neutral,0.6001334675449213
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.16604757694245548,-1.4540447199421058,1,Aversion,3,Appreciation,0.0015049162162675315
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.1614575346586561,-1.4131925780200478,1,Aversion,1,Aversion,0.39639700069095796
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.1614575346586561,-1.4131925780200478,1,Aversion,2,Neutral,0.6020655466605407
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.1614575346586561,-1.4131925780200478,1,Aversion,3,Appreciation,0.0015374526485014723
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.1568674923748567,-1.3723404360979896,1,Aversion,1,Aversion,0.3944355215235389
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.1568674923748567,-1.3723404360979896,1,Aversion,2,Neutral,0.6039938120477738
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.1568674923748567,-1.3723404360979896,1,Aversion,3,Appreciation,0.0015706664286873897
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.15227745009105734,-1.3314882941759318,1,Aversion,1,Aversion,0.3924772334751943
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.15227745009105734,-1.3314882941759318,1,Aversion,2,Neutral,0.6059181954291187
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.15227745009105734,-1.3314882941759318,1,Aversion,3,Appreciation,0.0016045710956870355
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.14768740780725795,-1.2906361522538736,1,Aversion,1,Aversion,0.39052219085297696
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.14768740780725795,-1.2906361522538736,1,Aversion,2,Neutral,0.6078386286993859
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.14768740780725795,-1.2906361522538736,1,Aversion,3,Appreciation,0.0016391804476370588
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.14309736552345856,-1.2497840103318156,1,Aversion,1,Aversion,0.38857044752640174
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.14309736552345856,-1.2497840103318156,1,Aversion,2,Neutral,0.6097550439269077
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.14309736552345856,-1.2497840103318156,1,Aversion,3,Appreciation,0.0016745085466905866
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.13850732323965917,-1.2089318684097574,1,Aversion,1,Aversion,0.38662205692160195
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.13850732323965917,-1.2089318684097574,1,Aversion,2,Neutral,0.6116673733545576
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.13850732323965917,-1.2089318684097574,1,Aversion,3,Appreciation,0.001710569723840581
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.13391728095585978,-1.1680797264876992,1,Aversion,1,Aversion,0.384677072015596
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.13391728095585978,-1.1680797264876992,1,Aversion,2,Neutral,0.6135755494005778
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.13391728095585978,-1.1680797264876992,1,Aversion,3,Appreciation,0.0017473785838262412
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.1293272386720604,-1.1272275845656412,1,Aversion,1,Aversion,0.38273554533066323
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.1293272386720604,-1.1272275845656412,1,Aversion,2,Neutral,0.615479504659213
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.1293272386720604,-1.1272275845656412,1,Aversion,3,Appreciation,0.0017849500101237365
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.124737196388261,-1.086375442643583,1,Aversion,1,Aversion,0.38079752892883223
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.124737196388261,-1.086375442643583,1,Aversion,2,Neutral,0.6173791719011452
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.124737196388261,-1.086375442643583,1,Aversion,3,Appreciation,0.001823299170022556
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.12014715410446163,-1.045523300721525,1,Aversion,1,Aversion,0.37886307440647954
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.12014715410446163,-1.045523300721525,1,Aversion,2,Neutral,0.6192744840737316
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.12014715410446163,-1.045523300721525,1,Aversion,3,Appreciation,0.0018624415197887759
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.11555711182066224,-1.0046711587994668,1,Aversion,1,Aversion,0.37693223288904215
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.11555711182066224,-1.0046711587994668,1,Aversion,2,Neutral,0.6211653743010414
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.11555711182066224,-1.0046711587994668,1,Aversion,3,Appreciation,0.0019023928099165962
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.11096706953686285,-0.9638190168774087,1,Aversion,1,Aversion,0.3750050550258446
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.11096706953686285,-0.9638190168774087,1,Aversion,2,Neutral,0.6230517758836859
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.11096706953686285,-0.9638190168774087,1,Aversion,3,Appreciation,0.0019431690904694497
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.10637702725306346,-0.9229668749553505,1,Aversion,1,Aversion,0.37308159098503985
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.10637702725306346,-0.9229668749553505,1,Aversion,2,Neutral,0.6249336222984481
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.10637702725306346,-0.9229668749553505,1,Aversion,3,Appreciation,0.0019847867165120577
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.10178698496926407,-0.8821147330332924,1,Aversion,1,Aversion,0.37116189044866527
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.10178698496926407,-0.8821147330332924,1,Aversion,2,Neutral,0.6268108471976999
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.10178698496926407,-0.8821147330332924,1,Aversion,3,Appreciation,0.002027262353634783
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.0971969426854647,-0.8412625911112344,1,Aversion,1,Aversion,0.36924600260781587
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.0971969426854647,-0.8412625911112344,1,Aversion,2,Neutral,0.6286833844086124
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.0971969426854647,-0.8412625911112344,1,Aversion,3,Appreciation,0.0020706129835716533
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.0926069004016653,-0.8004104491891763,1,Aversion,1,Aversion,0.36733397615793334
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.0926069004016653,-0.8004104491891763,1,Aversion,2,Neutral,0.6305511679321532
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.0926069004016653,-0.8004104491891763,1,Aversion,3,Appreciation,0.0021148559099134693
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.08801685811786591,-0.7595583072671181,1,Aversion,1,Aversion,0.365425859294213
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.08801685811786591,-0.7595583072671181,1,Aversion,2,Neutral,0.6324141319418696
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.08801685811786591,-0.7595583072671181,1,Aversion,3,Appreciation,0.0021600087639173675
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.08342681583406653,-0.7187061653450599,1,Aversion,1,Aversion,0.3635216997071289
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.08342681583406653,-0.7187061653450599,1,Aversion,2,Neutral,0.6342722107824568
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.08342681583406653,-0.7187061653450599,1,Aversion,3,Appreciation,0.0022060895104142773
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.07883677355026714,-0.6778540234230018,1,Aversion,1,Aversion,0.36162154457807716
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.07883677355026714,-0.6778540234230018,1,Aversion,2,Neutral,0.6361253389681072
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.07883677355026714,-0.6778540234230018,1,Aversion,3,Appreciation,0.002253116453815688
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.07424673126646775,-0.6370018815009437,1,Aversion,1,Aversion,0.35972544057513806
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.07424673126646775,-0.6370018815009437,1,Aversion,2,Neutral,0.6379734511806409
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.07424673126646775,-0.6370018815009437,1,Aversion,3,Appreciation,0.002301108244221176
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.06965668898266837,-0.5961497395788857,1,Aversion,1,Aversion,0.35783343384895877
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.06965668898266837,-0.5961497395788857,1,Aversion,2,Neutral,0.6398164822674131
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.06965668898266837,-0.5961497395788857,1,Aversion,3,Appreciation,0.002350083883628134
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.06506664669886898,-0.5552975976568276,1,Aversion,1,Aversion,0.355945570028755
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.06506664669886898,-0.5552975976568276,1,Aversion,2,Neutral,0.6416543672389999
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.06506664669886898,-0.5552975976568276,1,Aversion,3,Appreciation,0.0024000627322451748
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.06047660441506959,-0.5144454557347694,1,Aversion,1,Aversion,0.35406189421843287
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.06047660441506959,-0.5144454557347694,1,Aversion,2,Neutral,0.6434870412666566
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.06047660441506959,-0.5144454557347694,1,Aversion,3,Appreciation,0.002451064514910679
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.05588656213127022,-0.47359331381271147,1,Aversion,1,Aversion,0.3521824509928319
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.05588656213127022,-0.47359331381271147,1,Aversion,2,Neutral,0.6453144396795499
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.05588656213127022,-0.47359331381271147,1,Aversion,3,Appreciation,0.0025031093276179756
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.05129651984747083,-0.4327411718906533,1,Aversion,1,Aversion,0.3503072843940891
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.05129651984747083,-0.4327411718906533,1,Aversion,2,Neutral,0.6471364979617623
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.05129651984747083,-0.4327411718906533,1,Aversion,3,Appreciation,0.002556217644148655
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.04670647756367144,-0.3918890299685952,1,Aversion,1,Aversion,0.3484364379281227
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.04670647756367144,-0.3918890299685952,1,Aversion,2,Neutral,0.6489531517490618
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.04670647756367144,-0.3918890299685952,1,Aversion,3,Appreciation,0.002610410322815509
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.04211643527987205,-0.35103688804653704,1,Aversion,1,Aversion,0.34656995456123896
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.04211643527987205,-0.35103688804653704,1,Aversion,2,Neutral,0.6507643368254445
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.04211643527987205,-0.35103688804653704,1,Aversion,3,Appreciation,0.002665708613316636
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.03752639299607266,-0.31018474612447894,1,Aversion,1,Aversion,0.344707876716859
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.03752639299607266,-0.31018474612447894,1,Aversion,2,Neutral,0.6525699891194388
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.03752639299607266,-0.31018474612447894,1,Aversion,3,Appreciation,0.002722134163702208
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.03293635071227327,-0.26933260420242083,1,Aversion,1,Aversion,0.34285024627236843
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.03293635071227327,-0.26933260420242083,1,Aversion,2,Neutral,0.654370044700176
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.03293635071227327,-0.26933260420242083,1,Aversion,3,Appreciation,0.0027797090274554667
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.028346308428473882,-0.2284804622803627,1,Aversion,1,Aversion,0.3409971045560874
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.028346308428473882,-0.2284804622803627,1,Aversion,2,Neutral,0.6561644397732233
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.028346308428473882,-0.2284804622803627,1,Aversion,3,Appreciation,0.0028384556706894616
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.023756266144674493,-0.18762832035830457,1,Aversion,1,Aversion,0.33914849234436234
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.023756266144674493,-0.18762832035830457,1,Aversion,2,Neutral,0.6579531106761766
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.023756266144674493,-0.18762832035830457,1,Aversion,3,Appreciation,0.002898396979461097
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.019166223860875103,-0.14677617843624644,1,Aversion,1,Aversion,0.3373044498587807
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.019166223860875103,-0.14677617843624644,1,Aversion,2,Neutral,0.6597359938740153
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.019166223860875103,-0.14677617843624644,1,Aversion,3,Appreciation,0.0029595562672040422
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.014576181577075714,-0.1059240365141883,1,Aversion,1,Aversion,0.33546501676350543
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.014576181577075714,-0.1059240365141883,1,Aversion,2,Neutral,0.6615130259542126
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.014576181577075714,-0.1059240365141883,1,Aversion,3,Appreciation,0.003021957282282064
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.009986139293276353,-0.06507189459213042,1,Aversion,1,Aversion,0.3336302321627317
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.009986139293276353,-0.06507189459213042,1,Aversion,2,Neutral,0.6632841436216039
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.009986139293276353,-0.06507189459213042,1,Aversion,3,Appreciation,0.00308562421566436
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.005396097009476963,-0.024219752670072293,1,Aversion,1,Aversion,0.33180013459826535
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.005396097009476963,-0.024219752670072293,1,Aversion,2,Neutral,0.6650492836930103
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.005396097009476963,-0.024219752670072293,1,Aversion,3,Appreciation,0.0031505817087244484
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.0008060547256775741,0.016632389251985836,1,Aversion,1,Aversion,0.32997476204722154
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.0008060547256775741,0.016632389251985836,1,Aversion,2,Neutral,0.6668083830916143
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),-0.0008060547256775741,0.016632389251985836,1,Aversion,3,Appreciation,0.0032168548611642145
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),0.003783987558121815,0.057484531174043965,1,Aversion,1,Aversion,0.3281541519198449
team_t_minus_1_vs_team_t,Team (t-1) vs. Team (t),0.003783987558121815,0.057484531174043965,1,Aversion,2,Neutral,0.6685613788410903
