state,decision_path,execution_path,n_tasks,state_total,decision_total,execution_total,path_pct_of_state,path_pct_of_decision,path_pct_of_execution
Aversion,Fully approved,AI,10284,90878,15831,25872,11.316270164396224,64.96115216979344,39.749536178107604
Aversion,Fully approved,Joint,4005,90878,15831,25749,4.40700719646119,25.298465036952813,15.554002097168823
Aversion,Fully approved,Employee,1542,90878,15831,39257,1.696780298862211,9.740382793253742,3.9279618921466235
Aversion,Escalated,AI,12570,90878,45284,25872,13.83173045181452,27.758148573447574,48.58534322820037
Aversion,Escalated,Joint,12867,90878,45284,25749,14.158542221439733,28.414009363130464,49.97087265524875
Aversion,Escalated,Employee,19847,90878,45284,39257,21.839168995796562,43.82784206342196,50.55658863387421
Aversion,Manager changed,AI,3018,90878,29763,25872,3.32093576002993,10.140106844068137,11.665120593692022
Aversion,Manager changed,Joint,8877,90878,29763,25749,9.768040669909109,29.82562241709505,34.47512524758243
Aversion,Manager changed,Employee,17868,90878,29763,39257,19.661524241290522,60.03427073883681,45.51544947397916
Neutral,Fully approved,AI,13923,129255,21581,34203,10.771730300568644,64.5150827116445,40.706955530216646
Neutral,Fully approved,Joint,5486,129255,21581,36833,4.244323237012108,25.420508780872062,14.894252436673636
Neutral,Fully approved,Employee,2172,129255,21581,58219,1.680399210862249,10.064408507483435,3.7307408234425186
Neutral,Escalated,AI,15599,129255,60682,34203,12.068391938416308,25.70614020632148,45.60711048738415
Neutral,Escalated,Joint,17377,129255,60682,36833,13.443967351359715,28.63616888039287,47.1778025140499
Neutral,Escalated,Employee,27706,129255,60682,58219,21.435147576496075,45.657690913285656,47.58927497895876
Neutral,Manager changed,AI,4681,129255,46992,34203,3.6215233453251323,9.961270003404834,13.685933982399204
Neutral,Manager changed,Joint,13970,129255,46992,36833,10.808092530269622,29.728464419475657,37.92794504927647
Neutral,Manager changed,Employee,28341,129255,46992,58219,21.926424509690147,60.31026557711951,48.67998419759872
Appreciation,Fully approved,AI,6102,45520,9514,15329,13.405096660808436,64.13706117300819,39.80690195055124
Appreciation,Fully approved,Joint,2427,45520,9514,12683,5.331722319859402,25.50977506832037,19.13585113932035
Appreciation,Fully approved,Employee,985,45520,9514,17508,2.163884007029877,10.353163758671432,5.625999543066027
Appreciation,Escalated,AI,8001,45520,23984,15329,17.57688927943761,33.359739826551035,52.19518559592928
Appreciation,Escalated,Joint,6698,45520,23984,12683,14.714411247803163,27.926951300867245,52.810849168177874
Appreciation,Escalated,Employee,9285,45520,23984,17508,20.397627416520212,38.71330887258172,53.032899246058946
Appreciation,Manager changed,AI,1226,45520,12022,15329,2.693321616871705,10.197970387622691,7.997912453519473
Appreciation,Manager changed,Joint,3558,45520,12022,12683,7.81634446397188,29.595741141241056,28.053299692501774
Appreciation,Manager changed,Employee,7238,45520,12022,17508,15.900702987697715,60.20628847113625,41.34110121087503
