spec,J,P,transition_cols,LL,AIC,BIC,k_params,n_obs,soft_converged,scipy_success,strict_converged,screen_converged,continuation_round,iterations,occupancy_min,certainty_mean,runtime_min,source,message
single_period,1,3,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",-39061.479450313935,78172.95890062787,78373.76691123734,25,22750,True,True,True,True,1,12,1.0,1.0,0.0586436072985331,full_data_continuation,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
single_period,2,3,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",-14329.21851446268,28774.43702892536,29240.311613539347,58,22750,True,True,True,False,1,401,0.3375966491416452,0.9616983575400592,9.09930953582128,full_data_continuation,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
single_period,3,3,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",-9339.888180393811,18877.776360787622,19672.97608280116,99,22750,True,True,True,False,4,21,0.1711391884608372,0.9439031065793256,1.2610080003738404,full_data_continuation,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
single_period,4,3,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",-19956.129033737743,40208.258067475486,41397.04149028359,148,22750,True,True,True,False,3,30,0.2065643618538939,0.8659964252880524,5.65946741104126,full_data_continuation,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
single_period,5,3,"team_t_minus_1_vs_team_t, team_vs_peer_average, target_attainment",-15856.91255189819,32123.82510379638,33770.45079079409,205,22750,False,False,False,False,1,260,0.1313055313557434,0.8612783872022906,82.10866290728251,j4_warm_start_full_data,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
three_period,1,3,"team_prev3_avg_vs_team_t, team_vs_peer_average_3period, target_attainment_3period",-39061.4794520276,78172.9589040552,78373.76691466467,25,22750,True,True,True,True,1,12,1.0,1.0,0.0398131012916564,full_data_continuation,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
three_period,2,3,"team_prev3_avg_vs_team_t, team_vs_peer_average_3period, target_attainment_3period",-14507.359417711576,29130.71883542315,29596.593420037138,58,22750,True,True,True,False,2,2,0.3376997457657054,0.960681332947623,0.1100299954414367,full_data_continuation,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
three_period,3,3,"team_prev3_avg_vs_team_t, team_vs_peer_average_3period, target_attainment_3period",-9495.351738017202,19188.703476034403,19983.90319804793,99,22750,True,True,True,False,4,210,0.1701979945225822,0.9434101674649992,14.284993469715118,candidate_continuation,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
three_period,4,3,"team_prev3_avg_vs_team_t, team_vs_peer_average_3period, target_attainment_3period",-20210.098895160816,40716.19779032163,41904.98121312974,148,22750,False,False,False,False,1,750,0.2090229857994596,0.8663059129265411,169.16290909846623,full_data_continuation,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
three_period,5,3,"team_prev3_avg_vs_team_t, team_vs_peer_average_3period, target_attainment_3period",-16143.836234602804,32697.67246920561,34344.298156203324,205,22750,False,False,False,False,1,260,0.1327822674953791,0.8624105315814239,117.34334284464518,j4_warm_start_full_data,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT
