scenario_name,origin_state,dest_state,baseline,scenario,abs_change,rel_change_pct
cov1_minus1SD,1,1,0.2473,0.2581,0.0108,4.3716
cov1_minus1SD,1,2,0.2301,0.1706,-0.0594,-25.8339
cov1_minus1SD,1,3,0.5226,0.5712,0.0486,9.3055
cov1_minus1SD,2,1,0.2135,0.2503,0.0368,17.2263
cov1_minus1SD,2,2,0.2335,0.2661,0.0326,13.9568
cov1_minus1SD,2,3,0.553,0.4836,-0.0694,-12.5453
cov1_minus1SD,3,1,0.2044,0.1907,-0.0137,-6.6898
cov1_minus1SD,3,2,0.2727,0.2908,0.0181,6.6405
cov1_minus1SD,3,3,0.5229,0.5185,-0.0044,-0.8483
cov1_plus1SD,1,1,0.2473,0.2311,-0.0162,-6.5524
cov1_plus1SD,1,2,0.2301,0.3026,0.0725,31.5057
cov1_plus1SD,1,3,0.5226,0.4663,-0.0563,-10.7705
cov1_plus1SD,2,1,0.2135,0.1787,-0.0348,-16.3141
cov1_plus1SD,2,2,0.2335,0.201,-0.0325,-13.913
cov1_plus1SD,2,3,0.553,0.6203,0.0673,12.1746
cov1_plus1SD,3,1,0.2044,0.2186,0.0142,6.9399
cov1_plus1SD,3,2,0.2727,0.2552,-0.0175,-6.4278
cov1_plus1SD,3,3,0.5229,0.5262,0.0033,0.6396
cov2_minus1SD,1,1,0.2473,0.17,-0.0773,-31.2607
cov2_minus1SD,1,2,0.2301,0.2719,0.0418,18.1775
cov2_minus1SD,1,3,0.5226,0.5581,0.0355,6.7923
cov2_minus1SD,2,1,0.2135,0.1777,-0.0358,-16.7792
cov2_minus1SD,2,2,0.2335,0.2128,-0.0207,-8.8713
cov2_minus1SD,2,3,0.553,0.6095,0.0565,10.225
cov2_minus1SD,3,1,0.2044,0.2643,0.0599,29.3025
cov2_minus1SD,3,2,0.2727,0.3164,0.0437,16.0177
cov2_minus1SD,3,3,0.5229,0.4193,-0.1036,-19.8075
cov2_plus1SD,1,1,0.2473,0.3447,0.0974,39.3655
cov2_plus1SD,1,2,0.2301,0.1865,-0.0436,-18.9364
cov2_plus1SD,1,3,0.5226,0.4688,-0.0538,-10.2942
cov2_plus1SD,2,1,0.2135,0.2529,0.0394,18.4467
cov2_plus1SD,2,2,0.2335,0.2526,0.0191,8.1681
cov2_plus1SD,2,3,0.553,0.4945,-0.0585,-10.5718
cov2_plus1SD,3,1,0.2044,0.1512,-0.0532,-26.0055
cov2_plus1SD,3,2,0.2727,0.2249,-0.0478,-17.5327
cov2_plus1SD,3,3,0.5229,0.6239,0.101,19.3089
cov3_minus1SD,1,1,0.2473,0.2709,0.0236,9.532
cov3_minus1SD,1,2,0.2301,0.2345,0.0044,1.9172
cov3_minus1SD,1,3,0.5226,0.4946,-0.028,-5.3556
cov3_minus1SD,2,1,0.2135,0.2139,0.0003,0.1623
cov3_minus1SD,2,2,0.2335,0.2108,-0.0227,-9.7146
cov3_minus1SD,2,3,0.553,0.5753,0.0223,4.0399
cov3_minus1SD,3,1,0.2044,0.1371,-0.0673,-32.9393
cov3_minus1SD,3,2,0.2727,0.2142,-0.0585,-21.4622
cov3_minus1SD,3,3,0.5229,0.6488,0.1259,24.0685
cov3_plus1SD,1,1,0.2473,0.225,-0.0224,-9.0407
cov3_plus1SD,1,2,0.2301,0.2249,-0.0052,-2.2446
cov3_plus1SD,1,3,0.5226,0.5501,0.0275,5.2673
cov3_plus1SD,2,1,0.2135,0.2125,-0.001,-0.4913
cov3_plus1SD,2,2,0.2335,0.2578,0.0243,10.3946
