scenario,origin_state,dest_state,prob
baseline,1,1,0.24733686345851225
baseline,1,2,0.23008772848358747
baseline,1,3,0.5225754080579003
baseline,2,1,0.2135035481561865
baseline,2,2,0.2335271874226819
baseline,2,3,0.5529692644211316
baseline,3,1,0.20439187508766676
baseline,3,2,0.27270793844099267
baseline,3,3,0.5229001864713405
cov1_plus1SD,1,1,0.2311303052445401
cov1_plus1SD,1,2,0.3025784011398178
cov1_plus1SD,1,3,0.4662912936156421
cov1_plus1SD,2,1,0.17867241396174963
cov1_plus1SD,2,2,0.20103648282399916
cov1_plus1SD,2,3,0.6202911032142513
cov1_plus1SD,3,1,0.2185765405865421
cov1_plus1SD,3,2,0.2551787432272588
cov1_plus1SD,3,3,0.5262447161861992
cov1_minus1SD,1,1,0.25814933141574525
cov1_minus1SD,1,2,0.17064720866570227
cov1_minus1SD,1,3,0.5712034599185525
cov1_minus1SD,2,1,0.2502824031906377
cov1_minus1SD,2,2,0.26612008141811627
cov1_minus1SD,2,3,0.48359751539124596
cov1_minus1SD,3,1,0.1907184649024724
cov1_minus1SD,3,2,0.2908172083385777
cov1_minus1SD,3,3,0.5184643267589498
cov2_plus1SD,1,1,0.3447023384083844
cov2_plus1SD,1,2,0.18651733288973196
cov2_plus1SD,1,3,0.4687803287018836
cov2_plus1SD,2,1,0.2528878121730177
cov2_plus1SD,2,2,0.25260195003311087
cov2_plus1SD,2,3,0.49451023779387143
cov2_plus1SD,3,1,0.15123872554320278
cov2_plus1SD,3,2,0.22489494600516444
cov2_plus1SD,3,3,0.6238663284516328
cov2_minus1SD,1,1,0.17001763000148923
cov2_minus1SD,1,2,0.27191189460765136
cov2_minus1SD,1,3,0.5580704753908594
cov2_minus1SD,2,1,0.17767926234578515
cov2_minus1SD,2,2,0.2128103013327151
cov2_minus1SD,2,3,0.6095104363214997
cov2_minus1SD,3,1,0.2642838252678045
cov2_minus1SD,3,2,0.3163896020517838
cov2_minus1SD,3,3,0.4193265726804116
cov3_plus1SD,1,1,0.22497593272450514
cov3_plus1SD,1,2,0.22492317814481835
cov3_plus1SD,1,3,0.5501008891306766
cov3_plus1SD,2,1,0.21245450791878623
cov3_plus1SD,2,2,0.2578013697782033
cov3_plus1SD,2,3,0.5297441223030105
cov3_plus1SD,3,1,0.28392387994353013
cov3_plus1SD,3,2,0.3234639171570897
cov3_plus1SD,3,3,0.3926122028993802
cov3_minus1SD,1,1,0.2709129435688101
cov3_minus1SD,1,2,0.2344989053125351
cov3_minus1SD,1,3,0.4945881511186548
cov3_minus1SD,2,1,0.2138501294548546
cov3_minus1SD,2,2,0.2108409436367569
cov3_minus1SD,2,3,0.5753089269083885
cov3_minus1SD,3,1,0.1370667015527336
cov3_minus1SD,3,2,0.21417873356744047
cov3_minus1SD,3,3,0.648754564879826
cov4_plus1SD,1,1,0.29838915656926807
cov4_plus1SD,1,2,0.1966526497452021
cov4_plus1SD,1,3,0.5049581936855299
cov4_plus1SD,2,1,0.245302726388456
cov4_plus1SD,2,2,0.2542341910163384
cov4_plus1SD,2,3,0.5004630825952057
cov4_plus1SD,3,1,0.19319807359478616
cov4_plus1SD,3,2,0.2784740376227349
cov4_plus1SD,3,3,0.5283278887824789
cov4_minus1SD,1,1,0.20198265418140016
cov4_minus1SD,1,2,0.26522015474369554
cov4_minus1SD,1,3,0.5327971910749043
cov4_minus1SD,2,1,0.18374702467068507
cov4_minus1SD,2,2,0.21210623626660233
cov4_minus1SD,2,3,0.6041467390627125
cov4_minus1SD,3,1,0.21605627065893598
cov4_minus1SD,3,2,0.26684143053962545
cov4_minus1SD,3,3,0.5171022988014385
cov5_plus1SD,1,1,0.24694418199655438
cov5_plus1SD,1,2,0.23035624675781458
cov5_plus1SD,1,3,0.522699571245631
cov5_plus1SD,2,1,0.21480722431857016
cov5_plus1SD,2,2,0.23402429419779697
cov5_plus1SD,2,3,0.5511684814836328
cov5_plus1SD,3,1,0.205150570073266
cov5_plus1SD,3,2,0.27171331247121433
cov5_plus1SD,3,3,0.5231361174555197
cov5_minus1SD,1,1,0.2477299298119529
cov5_minus1SD,1,2,0.22981930099401288
cov5_minus1SD,1,3,0.5224507691940342
cov5_minus1SD,2,1,0.21220463250391053
cov5_minus1SD,2,2,0.233027675763076
cov5_minus1SD,2,3,0.5547676917330134
cov5_minus1SD,3,1,0.20363465148895318
cov5_minus1SD,3,2,0.27370441168817594
cov5_minus1SD,3,3,0.5226609368228708
