manager_id,period_id,most_likely_state,most_likely_label,posterior_state_1,posterior_state_2
M0001,2,1,Appreciation,0.9772001706831268,0.02279982931687334
M0001,3,1,Appreciation,0.7041966283649489,0.2958033716350507
M0001,4,1,Appreciation,0.9529187758012673,0.04708122419873177
M0001,5,1,Appreciation,0.7291151930308291,0.2708848069691721
M0001,6,2,Aversion,0.10841023535577465,0.891589764644226
M0001,7,1,Appreciation,0.926460389904793,0.07353961009520811
M0001,8,2,Aversion,0.28926174022297396,0.7107382597770272
M0001,9,2,Aversion,0.46004299772604196,0.5399570022739582
M0001,10,2,Aversion,0.10307003386911244,0.8969299661308862
M0001,11,1,Appreciation,0.8650967695242968,0.13490323047570363
M0001,12,1,Appreciation,0.5665042926820636,0.4334957073179369
M0001,13,1,Appreciation,0.6921347210969044,0.30786527890309506
M0001,14,1,Appreciation,0.9287812128002984,0.07121878719970101
M0001,15,2,Aversion,0.0829429488962473,0.9170570511037537
M0001,16,2,Aversion,0.2882884739036158,0.7117115260963847
M0001,17,2,Aversion,0.27232545648135453,0.7276745435186451
M0001,18,2,Aversion,0.18061488814529925,0.8193851118546994
M0001,19,2,Aversion,0.026683296900625788,0.973316703099374
M0001,20,1,Appreciation,0.997000476351124,0.002999523648874512
M0001,21,2,Aversion,0.18153024653466507,0.8184697534653341
M0001,22,2,Aversion,0.10963766213795274,0.8903623378620471
M0001,23,2,Aversion,0.012572147443631384,0.9874278525563672
M0001,24,2,Aversion,0.15956901810711582,0.8404309818928838
M0001,25,2,Aversion,0.4332536691016723,0.5667463308983263
M0001,26,2,Aversion,0.45146328690436066,0.5485367130956389
M0002,2,1,Appreciation,0.9238398796044823,0.07616012039551688
M0002,3,1,Appreciation,0.6410836761635056,0.35891632383649275
M0002,4,1,Appreciation,0.7186765223899944,0.28132347761000714
M0002,5,1,Appreciation,0.702750129372617,0.2972498706273843
M0002,6,2,Aversion,0.2171473071532985,0.782852692846703
M0002,7,1,Appreciation,0.9970240801198621,0.0029759198801379847
M0002,8,1,Appreciation,0.9495661067310962,0.05043389326890488
M0002,9,1,Appreciation,0.7716879719234664,0.22831202807653386
M0002,10,1,Appreciation,0.9924532218540667,0.007546778145933216
M0002,11,1,Appreciation,0.9971260067555336,0.0028739932444661444
M0002,12,2,Aversion,0.28156103672928573,0.7184389632707129
M0002,13,1,Appreciation,0.9921326091696034,0.007867390830396262
M0002,14,1,Appreciation,0.6187172184274395,0.38128278157256024
M0002,15,2,Aversion,0.3065503327711995,0.6934496672288001
M0002,16,1,Appreciation,0.988110292451672,0.011889707548328758
M0002,17,2,Aversion,0.03367212625135825,0.9663278737486427
M0002,18,2,Aversion,0.04934913042827581,0.950650869571726
M0002,19,1,Appreciation,0.9710603701285695,0.028939629871432133
M0002,20,2,Aversion,0.012115891065713761,0.9878841089342849
M0002,21,2,Aversion,0.2382880195353054,0.7617119804646929
M0002,22,2,Aversion,0.08003333353775424,0.9199666664622471
M0002,23,2,Aversion,0.1252008344309182,0.8747991655690822
M0002,24,2,Aversion,0.08064965963313864,0.9193503403668598
M0002,25,1,Appreciation,0.6390373940015248,0.3609626059984754
M0002,26,1,Appreciation,0.8234289673507397,0.1765710326492593
M0003,2,1,Appreciation,0.8307489380524992,0.16925106194750253
M0003,3,1,Appreciation,0.9992795367437608,0.0007204632562380896
M0003,4,1,Appreciation,0.9554226197978216,0.04457738020217874
M0003,5,1,Appreciation,0.985866059870732,0.014133940129268361
M0003,6,1,Appreciation,0.971513630942926,0.028486369057072233
M0003,7,1,Appreciation,0.8510837430681448,0.14891625693185345
M0003,8,1,Appreciation,0.974137604614191,0.025862395385808225
